Time,Frequency
0:00:00,15
0:00:03,6
0:00:04,4
0:00:05,4
0:00:06,4
0:00:07,3
0:00:08,7
0:00:09,5
0:00:11,8
0:00:15,2
0:00:16,4
0:00:17,3
0:00:18,4
0:00:19,4
0:00:20,2
0:00:21,4
0:00:22,4
0:00:23,1
0:00:26,1
0:00:27,1
0:00:28,1
0:00:30,1
0:00:31,1
0:00:32,2
0:00:34,2
0:00:35,2
0:00:38,3
0:00:41,5
0:00:43,1
0:00:47,1
0:00:48,2
0:00:49,1
0:00:51,1
0:00:52,1
0:00:54,1
0:00:56,3
0:00:57,1
0:00:58,1
0:00:59,3
0:01:01,2
0:01:02,1
0:01:04,2
0:01:05,1
0:01:06,1
0:01:09,1
0:01:12,2
0:01:14,1
0:01:15,4
0:01:16,2
0:01:17,2
0:01:18,1
0:01:19,1
0:01:20,2
0:01:21,2
0:01:23,6
0:01:24,2
0:01:28,2
0:01:29,4
0:01:30,2
0:01:31,1
0:01:32,3
0:01:34,2
0:01:35,2
0:01:36,1
0:01:37,2
0:01:38,1
0:01:39,1
0:01:40,2
0:01:42,1
0:01:43,3
0:01:45,3
0:01:46,1
0:01:47,2
0:01:48,2
0:01:49,1
0:01:51,3
0:01:53,1
0:01:54,5
0:01:55,1
0:01:57,1
0:01:58,2
0:02:00,2
0:02:02,1
0:02:04,2
0:02:05,1
0:02:06,2
0:02:07,2
0:02:09,2
0:02:10,4
0:02:11,1
0:02:12,1
0:02:13,5
0:02:15,3
0:02:16,2
0:02:18,1
0:02:19,1
0:02:20,1
0:02:21,1
0:02:22,2
0:02:23,3
0:02:24,1
0:02:25,1
0:02:26,3
0:02:28,1
0:02:29,1
0:02:31,1
0:02:32,2
0:02:33,1
0:02:36,1
0:02:37,2
0:02:39,3
0:02:41,2
0:02:42,1
0:02:43,2
0:02:45,3
0:02:47,1
0:02:48,2
0:02:51,1
0:02:52,1
0:02:54,2
0:02:55,2
0:02:56,1
0:02:57,2
0:02:59,1
0:03:02,2
0:03:03,3
0:03:05,1
0:03:06,3
0:03:07,2
0:03:08,1
0:03:09,2
0:03:10,6
0:03:11,2
0:03:12,3
0:03:13,1
0:03:14,4
0:03:15,1
0:03:17,1
0:03:19,1
0:03:20,2
0:03:21,1
0:03:22,2
0:03:23,1
0:03:24,3
0:03:25,2
0:03:26,1
0:03:27,1
0:03:30,2
0:03:33,2
0:03:34,3
0:03:35,1
0:03:36,2
0:03:38,1
0:03:39,3
0:03:40,1
0:03:41,1
0:03:43,3
0:03:44,1
0:03:45,1
0:03:46,4
0:03:47,1
0:03:50,1
0:03:51,1
0:03:52,2
0:03:53,2
0:03:56,1
0:03:57,1
0:03:58,1
0:04:00,3
0:04:02,1
0:04:03,2
0:04:04,1
0:04:07,2
0:04:08,2
0:04:09,2
0:04:10,1
0:04:11,1
0:04:16,1
0:04:17,1
0:04:18,1
0:04:19,1
0:04:20,1
0:04:23,1
0:04:24,1
0:04:25,1
0:04:26,5
0:04:27,2
0:04:28,1
0:04:30,1
0:04:32,4
0:04:33,1
0:04:34,2
0:04:35,1
0:04:36,3
0:04:37,1
0:04:38,1
0:04:40,3
0:04:41,3
0:04:42,3
0:04:43,3
0:04:44,2
0:04:45,3
0:04:46,1
0:04:47,1
0:04:48,1
0:04:49,1
0:04:50,2
0:04:51,2
0:04:52,3
0:04:53,2
0:04:54,3
0:04:55,2
0:04:56,7
0:04:57,4
0:04:58,2
0:04:59,3
0:05:00,4
0:05:01,1
0:05:02,6
0:05:03,1
0:05:04,1
0:05:05,3
0:05:06,2
0:05:07,5
0:05:08,2
0:05:09,7
0:05:10,2
0:05:11,1
0:05:12,1
0:05:13,8
0:05:14,2
0:05:15,3
0:05:16,4
0:05:17,6
0:05:18,1
0:05:19,5
0:05:20,5
0:05:21,4
0:05:22,5
0:05:24,7
0:05:25,5
0:05:26,2
0:05:27,3
0:05:28,1
0:05:29,1
0:05:30,5
0:05:31,1
0:05:32,4
0:05:33,1
0:05:34,2
0:05:35,1
0:05:37,3
0:05:38,1
0:05:39,2
0:05:40,3
0:05:41,2
0:05:42,1
0:05:43,2
0:05:44,2
0:05:45,3
0:05:46,2
0:05:47,5
0:05:48,6
0:05:49,2
0:05:50,3
0:05:51,1
0:05:52,1
0:05:53,2
0:05:54,4
0:05:55,4
0:05:56,6
0:05:57,3
0:05:58,1
0:05:59,1
0:06:00,3
0:06:01,2
0:06:02,4
0:06:03,4
0:06:04,3
0:06:05,3
0:06:06,5
0:06:07,2
0:06:08,2
0:06:09,3
0:06:10,3
0:06:11,3
0:06:12,2
0:06:13,7
0:06:14,2
0:06:15,1
0:06:16,1
0:06:17,2
0:06:18,1
0:06:19,4
0:06:20,5
0:06:21,3
0:06:22,4
0:06:23,2
0:06:24,7
0:06:25,4
0:06:26,4
0:06:27,1
0:06:28,2
0:06:29,3
0:06:30,2
0:06:31,2
0:06:32,5
0:06:33,5
0:06:34,2
0:06:35,2
0:06:37,3
0:06:38,8
0:06:39,4
0:06:40,7
0:06:41,1
0:06:42,1
0:06:43,4
0:06:45,3
0:06:46,2
0:06:47,3
0:06:48,4
0:06:49,2
0:06:50,5
0:06:51,3
0:06:52,6
0:06:53,2
0:06:54,4
0:06:55,2
0:06:56,4
0:06:57,7
0:06:58,4
0:06:59,3
0:07:00,1
0:07:01,6
0:07:02,2
0:07:03,3
0:07:04,1
0:07:05,3
0:07:06,7
0:07:07,2
0:07:08,2
0:07:09,2
0:07:10,3
0:07:11,2
0:07:12,5
0:07:13,4
0:07:14,1
0:07:15,6
0:07:16,2
0:07:17,1
0:07:18,3
0:07:19,7
0:07:20,4
0:07:22,3
0:07:23,5
0:07:24,2
0:07:25,1
0:07:26,5
0:07:27,2
0:07:28,2
0:07:29,2
0:07:30,3
0:07:32,3
0:07:33,1
0:07:34,3
0:07:35,4
0:07:36,1
0:07:37,3
0:07:38,5
0:07:39,2
0:07:40,2
0:07:41,2
0:07:43,2
0:07:44,4
0:07:45,2
0:07:48,4
0:07:49,3
0:07:51,3
0:07:53,2
0:07:54,1
0:07:55,2
0:07:56,2
0:07:57,2
0:07:58,3
0:07:59,3
0:08:00,1
0:08:01,5
0:08:02,2
0:08:03,2
0:08:04,3
0:08:05,2
0:08:06,3
0:08:09,2
0:08:10,2
0:08:11,3
0:08:12,1
0:08:13,1
0:08:14,4
0:08:15,1
0:08:16,1
0:08:17,4
0:08:18,3
0:08:19,1
0:08:20,2
0:08:21,2
0:08:22,1
0:08:23,2
0:08:24,1
0:08:25,2
0:08:26,1
0:08:27,2
0:08:28,2
0:08:29,2
0:08:31,2
0:08:32,1
0:08:34,4
0:08:35,2
0:08:36,3
0:08:38,2
0:08:39,1
0:08:40,2
0:08:41,1
0:08:42,3
0:08:44,1
0:08:45,1
0:08:46,2
0:08:47,1
0:08:48,5
0:08:50,1
0:08:51,6
0:08:52,3
0:08:53,1
0:08:54,3
0:08:55,5
0:08:56,2
0:08:57,1
0:08:58,3
0:08:59,2
0:09:00,1
0:09:01,2
0:09:03,2
0:09:04,1
0:09:05,2
0:09:06,8
0:09:07,2
0:09:08,2
0:09:09,2
0:09:10,3
0:09:13,6
0:09:14,1
0:09:15,4
0:09:16,2
0:09:17,1
0:09:18,1
0:09:19,1
0:09:20,4
0:09:21,1
0:09:22,2
0:09:23,1
0:09:24,4
0:09:25,1
0:09:26,2
0:09:27,2
0:09:28,3
0:09:29,3
0:09:30,3
0:09:31,2
0:09:32,3
0:09:33,2
0:09:34,1
0:09:35,1
0:09:36,3
0:09:38,2
0:09:39,2
0:09:40,3
0:09:41,1
0:09:42,3
0:09:43,1
0:09:44,4
0:09:45,3
0:09:47,3
0:09:48,1
0:09:49,2
0:09:50,1
0:09:52,2
0:09:53,1
0:09:54,2
0:09:56,2
0:09:57,3
0:09:59,1
0:10:01,2
0:10:02,2
0:10:03,5
0:10:04,3
0:10:05,1
0:10:06,3
0:10:07,1
0:10:09,1
0:10:10,1
0:10:11,2
0:10:12,1
0:10:13,5
0:10:14,3
0:10:15,1
0:10:16,4
0:10:17,1
0:10:18,1
0:10:19,4
0:10:20,1
0:10:21,1
0:10:22,4
0:10:23,5
0:10:24,5
0:10:25,2
0:10:26,1
0:10:27,2
0:10:28,4
0:10:29,4
0:10:30,1
0:10:31,1
0:10:32,3
0:10:33,3
0:10:34,1
0:10:36,3
0:10:37,1
0:10:38,3
0:10:40,3
0:10:41,3
0:10:42,3
0:10:43,3
0:10:44,6
0:10:45,2
0:10:46,1
0:10:47,7
0:10:48,3
0:10:49,3
0:10:50,3
0:10:51,3
0:10:52,3
0:10:53,3
0:10:54,4
0:10:55,3
0:10:56,2
0:10:57,5
0:10:58,2
0:10:59,2
0:11:00,2
0:11:01,3
0:11:02,4
0:11:03,4
0:11:04,2
0:11:05,7
0:11:06,4
0:11:07,3
0:11:08,4
0:11:09,7
0:11:10,4
0:11:12,2
0:11:13,4
0:11:14,11
0:11:15,5
0:11:16,5
0:11:17,2
0:11:18,5
0:11:19,4
0:11:20,8
0:11:21,4
0:11:22,1
0:11:23,4
0:11:24,4
0:11:25,4
0:11:26,2
0:11:27,1
0:11:28,2
0:11:29,3
0:11:30,1
0:11:31,2
0:11:32,1
0:11:33,2
0:11:34,4
0:11:35,2
0:11:37,3
0:11:38,5
0:11:39,4
0:11:40,5
0:11:41,2
0:11:42,1
0:11:43,3
0:11:44,2
