Start_time,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,End_time
04:46:08,04:46:09,04:46:10,04:46:11,04:46:12,04:46:13,04:46:14,04:46:15,04:46:16,04:46:17,04:46:18,04:46:19,04:46:20,04:46:21,04:46:22,04:46:23,04:46:24,04:46:25,04:46:26,04:46:27,04:46:28,04:46:29,04:46:30,04:46:31,04:46:32,04:46:33,04:46:34,04:46:35,04:46:36,04:46:37
04:56:56,04:56:57,04:56:58,04:56:59,04:57:00,04:57:01,04:57:02,04:57:03,04:57:04,04:57:05,04:57:06,04:57:07,04:57:08,04:57:09,04:57:10,04:57:11,04:57:12,04:57:13,04:57:14,04:57:15,04:57:16,04:57:17,04:57:18,04:57:19,04:57:20,04:57:21,04:57:22,04:57:23,04:57:24,04:57:25
04:46:34,04:46:35,04:46:36,04:46:37,04:46:38,04:46:39,04:46:40,04:46:41,04:46:42,04:46:43,04:46:44,04:46:45,04:46:46,04:46:47,04:46:48,04:46:49,04:46:50,04:46:51,04:46:52,04:46:53,04:46:54,04:46:55,04:46:56,04:46:57,04:46:58,04:46:59,04:47:00,04:47:01,04:47:02,04:47:03
02:21:24,02:21:25,02:21:26,02:21:27,02:21:28,02:21:29,02:21:30,02:21:31,02:21:32,02:21:33,02:21:34,02:21:35,02:21:36,02:21:37,02:21:38,02:21:39,02:21:40,02:21:41,02:21:42,02:21:43,02:21:44,02:21:45,02:21:46,02:21:47,02:21:48,02:21:49,02:21:50,02:21:51,02:21:52,02:21:53
04:12:23,04:12:24,04:12:25,04:12:26,04:12:27,04:12:28,04:12:29,04:12:30,04:12:31,04:12:32,04:12:33,04:12:34,04:12:35,04:12:36,04:12:37,04:12:38,04:12:39,04:12:40,04:12:41,04:12:42,04:12:43,04:12:44,04:12:45,04:12:46,04:12:47,04:12:48,04:12:49,04:12:50,04:12:51,04:12:52
04:50:33,04:50:34,04:50:35,04:50:36,04:50:37,04:50:38,04:50:39,04:50:40,04:50:41,04:50:42,04:50:43,04:50:44,04:50:45,04:50:46,04:50:47,04:50:48,04:50:49,04:50:50,04:50:51,04:50:52,04:50:53,04:50:54,04:50:55,04:50:56,04:50:57,04:50:58,04:50:59,04:51:00,04:51:01,04:51:02
04:56:57,04:56:58,04:56:59,04:57:00,04:57:01,04:57:02,04:57:03,04:57:04,04:57:05,04:57:06,04:57:07,04:57:08,04:57:09,04:57:10,04:57:11,04:57:12,04:57:13,04:57:14,04:57:15,04:57:16,04:57:17,04:57:18,04:57:19,04:57:20,04:57:21,04:57:22,04:57:23,04:57:24,04:57:25,04:57:26
02:16:56,02:16:57,02:16:58,02:16:59,02:17:00,02:17:01,02:17:02,02:17:03,02:17:04,02:17:05,02:17:06,02:17:07,02:17:08,02:17:09,02:17:10,02:17:11,02:17:12,02:17:13,02:17:14,02:17:15,02:17:16,02:17:17,02:17:18,02:17:19,02:17:20,02:17:21,02:17:22,02:17:23,02:17:24,02:17:25
02:17:15,02:17:16,02:17:17,02:17:18,02:17:19,02:17:20,02:17:21,02:17:22,02:17:23,02:17:24,02:17:25,02:17:26,02:17:27,02:17:28,02:17:29,02:17:30,02:17:31,02:17:32,02:17:33,02:17:34,02:17:35,02:17:36,02:17:37,02:17:38,02:17:39,02:17:40,02:17:41,02:17:42,02:17:43,02:17:44
04:50:26,04:50:27,04:50:28,04:50:29,04:50:30,04:50:31,04:50:32,04:50:33,04:50:34,04:50:35,04:50:36,04:50:37,04:50:38,04:50:39,04:50:40,04:50:41,04:50:42,04:50:43,04:50:44,04:50:45,04:50:46,04:50:47,04:50:48,04:50:49,04:50:50,04:50:51,04:50:52,04:50:53,04:50:54,04:50:55
04:50:32,04:50:33,04:50:34,04:50:35,04:50:36,04:50:37,04:50:38,04:50:39,04:50:40,04:50:41,04:50:42,04:50:43,04:50:44,04:50:45,04:50:46,04:50:47,04:50:48,04:50:49,04:50:50,04:50:51,04:50:52,04:50:53,04:50:54,04:50:55,04:50:56,04:50:57,04:50:58,04:50:59,04:51:00,04:51:01
04:56:55,04:56:56,04:56:57,04:56:58,04:56:59,04:57:00,04:57:01,04:57:02,04:57:03,04:57:04,04:57:05,04:57:06,04:57:07,04:57:08,04:57:09,04:57:10,04:57:11,04:57:12,04:57:13,04:57:14,04:57:15,04:57:16,04:57:17,04:57:18,04:57:19,04:57:20,04:57:21,04:57:22,04:57:23,04:57:24
