Unique_times,chat,
0:46:25,,
0:46:26,"[' papaLOL papaLOL papaLOL papaLOL papaLOL papaLOL papaLOL papaLOL papaLOL papaLOL papaLOL', ' Kappa DogFace BibleThump PogChamp BibleThump PogChamp BibleThump DogFace BibleThump PogChamp BibleThump DogFace PogChamp DogFace OWLgetonpoint RedCoat PogChamp BibleThump PogChamp OWLgetonpoint OWLgetonpoint OWLgetonpoint RedCoat OWLgetonpoint', ' PogChamp']",
0:46:27,,
0:46:28,"[' mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp mastirCasp', ' PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp ', ' ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper', ' ResidentSleeper', ' FailFish FailFish FailFish', ' PowerUpL PowerUpR', ' PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp', ' timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype timitHype', ' lpreveBruh lpreveBruh lpreveBruh lpreveBruh', ' PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp', ' ninjaFire ninjaFire ninjaFire ninjaFire', ' KevinTurtle KevinTurtle KevinTurtle KevinTurtle', ' Kreygasm', ' VoteYea VoteYea VoteYea KAPOW VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea KAPOW KAPOW KAPOW VoteYea VoteYea VoteYea VoteYea VoteYea KAPOW KAPOW EarthDay KAPOW KAPOW VoteYea VoteYea VoteYea KAPOW KAPOW EarthDay EarthDay EarthDay KAPOW KAPOW VoteYea VoteYea VoteYea KAPOW KAPOW EarthDay KAPOW KAPOW VoteYea VoteYea VoteYea VoteYea VoteYea KAPOW KAPOW KAPOW VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea KAPOW VoteYea VoteYea VoteYea', ' WutFace']",
0:46:29,"[' ', ' PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp ResidentSleeper ResidentSleeper PogChamp PogChamp PogChamp PogChamp', ' TheIlluminati', ' bronanTilt bronanTilt bronanSmoke bronanTilt bronanTilt', ' CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit']",
0:46:30,"[' imnocoWwirbel imnocoWlol imnocoWhi imnocoWherz imnocoWwirbel imnocoWlol imnocoWhi imnocoWherz imnocoWwirbel imnocoWlol imnocoWhi imnocoWherz imnocoWwirbel imnocoWlol imnocoWhi imnocoWherz imnocoWwirbel imnocoWlol imnocoWhi imnocoWherz imnocoWwirbel imnocoWlol imnocoWhi imnocoWherz imnocoWwirbel imnocoWlol imnocoWhi imnocoWherz imnocoWwirbel imnocoWlol imnocoWhi imnocoWherz', ' nofear4Love nofear4Love nofear4Love nofear4Love nofear4Love nofear4Love nofear4Love BibleThump BibleThump BibleThump BibleThump', ' BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump', ' cmonBruh cmonBruh cmonBruh cmonBruh cmonBruh cmonBruh cmonBruh cmonBruh', ' yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing yeloGg yeloKing', ' BrokeBack BrokeBack BrokeBack BrokeBack', ' odjkilMHMM odjkilMHMM odjkilMHMM odjkilMHMM', ' forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird forsenTake forsenA forsenBreak forsenWeird', ' tatLove tatLove tatW', ' VoteYea VoteYea VoteYea', ' VoteYea VoteYea VoteYea KAPOW VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea KAPOW KAPOW KAPOW VoteYea VoteYea VoteYea VoteYea VoteYea KAPOW KAPOW EarthDay KAPOW KAPOW VoteYea VoteYea VoteYea KAPOW KAPOW EarthDay EarthDay EarthDay KAPOW KAPOW VoteYea VoteYea VoteYea KAPOW KAPOW EarthDay KAPOW KAPOW VoteYea VoteYea VoteYea VoteYea VoteYea KAPOW KAPOW KAPOW VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea KAPOW VoteYea VoteYea VoteYea', ' FortOne FortOne FortOne FortOne', ' PunchTrees PunchTrees PunchTrees PunchTrees PunchTrees PunchTrees PunchTrees BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail PunchTrees PunchTrees PunchTrees PunchTrees', ' StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese StinkyCheese', ' PogChamp PogChamp PogChamp PogChamp Kappa Kappa Kappa']",
0:46:31,"[' VoteYea', ' ', ' xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh xqcHYPERF cmonBruh', ' LUL', ' trizieHYPE trizieHYPE trizieHYPE trizieHYPE trizieHYPE trizieHYPE', ' CriticalReactz subscribed with Twitch Prime.', ' PrideWingR', ' DoritosChip DoritosChip DoritosChip DoritosChip DoritosChip DoritosChip DoritosChip DrinkPurple DrinkPurple DrinkPurple DrinkPurple DrinkPurple', ' PrideGive', ' LUL LUL LUL LUL LUL', ' BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack KAPOW BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack', ' kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP kamelP', ' alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi alonapGigi', ' ruinMussLos ruinMussLos ruinMussLos ruinMussLos ruinMussLos']",
0:46:32,"[' :O', ' whxbzAngry', ' RitzMitz', ' DoritosChip', ' LUL LUL LUL LUL LUL LUL LUL LUL']",
0:46:33,"[' FailFish FailFish FailFish FailFish FailFish FailFish FailFish FailFish FailFish FailFish', ' BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump', ' ', ' PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp', ' HotPokket Jebaited Kappa Kreygasm LUL Kreygasm Kreygasm Kreygasm Kappa', ' KAPOW KAPOW KAPOW KAPOW KAPOW', ' DansGame', ' ', ' HolidaySanta HolidaySanta HolidaySanta HolidaySanta HolidaySanta', ' BrainSlug BrainSlug BrainSlug BrainSlug', ' macklo1Wowzers macklo1Wowzers macklo1Wowzers macklo1Wowzers macklo1Wowzers macklo1Wowzers macklo1Wowzers macklo1Wowzers macklo1Wowzers', ' mckyLachen mckyLachen mckyLachen mckyLachen mckyLachen mckyLachen mckyLachen mckyLachen', ' BlessRNG', ' doctorSNOOZEFEST doctorSNOOZEFEST doctorSNOOZEFEST doctorSNOOZEFEST', ' SwiftRage SwiftRage SwiftRage SwiftRage']",
0:46:34,"[' TriHard TriHard TriHard TriHard TriHard', ' BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump', ' tfueROLL tfueROLL tfueROLL tfueROLL tfueROLL tfueROLL tfueROLL tfueROLL tfueROLL tfueROLL tfueROLL', ' stegiSeinallerbesterfreun stegiSeinallerbesterfreun stegiSeinallerbesterfreun btmcM btmcM stegiSeinallerbesterfreun stegiSeinallerbesterfreun btmcM stegiSeinallerbesterfreun stegiSeinallerbesterfreun stegiSeinallerbesterfreun btmcM stegiSeinallerbesterfreun stegiSeinallerbesterfreun stegiSeinallerbesterfreun stegiSeinallerbesterfreun stegiSeinallerbesterfreun', ' :D :D :D :D :D', ' PunchTrees PunchTrees PunchTrees PunchTrees PunchTrees PunchTrees PunchTrees PunchTrees PunchTrees', ' aceHAHA aceHAHA aceHAHA aceHAHA aceHAHA aceHAHA aceHAHA aceHAHA aceHAHA aceHAHA aceHAHA aceHAHA', ' PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp', ' FortHype', ' DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame']",
