category,time,percent,round,result,match
badp,start,1.17647058823529,r2_l,lose,two
caction,start,9.41176470588235,r2_l,lose,two
cdesign,start,3.52941176470588,r2_l,lose,two
cinfo,start,5.88235294117647,r2_l,lose,two
game,start,18.8235294117647,r2_l,lose,two
goodp,start,7.05882352941176,r2_l,lose,two
other,start,35.2941176470588,r2_l,lose,two
question,start,10.5882352941176,r2_l,lose,two
request,start,8.23529411764706,r2_l,lose,two
badp,middle,1.17647058823529,r2_l,lose,two
caction,middle,15.2941176470588,r2_l,lose,two
cdesign,middle,8.23529411764706,r2_l,lose,two
cinfo,middle,8.23529411764706,r2_l,lose,two
comment,middle,1.17647058823529,r2_l,lose,two
game,middle,11.7647058823529,r2_l,lose,two
goodp,middle,14.1176470588235,r2_l,lose,two
other,middle,27.0588235294118,r2_l,lose,two
question,middle,8.23529411764706,r2_l,lose,two
request,middle,4.70588235294118,r2_l,lose,two
badp,end,3.6144578313253,r2_l,lose,two
caction,end,14.4578313253012,r2_l,lose,two
cdesign,end,7.2289156626506,r2_l,lose,two
cinfo,end,3.6144578313253,r2_l,lose,two
comment,end,2.40963855421687,r2_l,lose,two
game,end,9.63855421686747,r2_l,lose,two
goodp,end,13.2530120481928,r2_l,lose,two
other,end,30.1204819277108,r2_l,lose,two
question,end,8.43373493975904,r2_l,lose,two
request,end,7.2289156626506,r2_l,lose,two
badp,start,2.26415094339623,r2_w,win,two
caction,start,5.66037735849057,r2_w,win,two
cdesign,start,9.43396226415094,r2_w,win,two
cinfo,start,13.5849056603774,r2_w,win,two
comment,start,2.26415094339623,r2_w,win,two
game,start,13.9622641509434,r2_w,win,two
goodp,start,4.15094339622642,r2_w,win,two
other,start,34.3396226415094,r2_w,win,two
question,start,9.43396226415094,r2_w,win,two
request,start,4.90566037735849,r2_w,win,two
badp,middle,1.50943396226415,r2_w,win,two
caction,middle,7.16981132075472,r2_w,win,two
cdesign,middle,10.5660377358491,r2_w,win,two
cinfo,middle,12.8301886792453,r2_w,win,two
comment,middle,1.50943396226415,r2_w,win,two
game,middle,12.4528301886792,r2_w,win,two
goodp,middle,3.39622641509434,r2_w,win,two
other,middle,34.3396226415094,r2_w,win,two
question,middle,9.43396226415094,r2_w,win,two
request,middle,6.79245283018868,r2_w,win,two
badp,end,1.15384615384615,r2_w,win,two
caction,end,8.07692307692308,r2_w,win,two
cdesign,end,7.30769230769231,r2_w,win,two
cinfo,end,13.0769230769231,r2_w,win,two
comment,end,5,r2_w,win,two
game,end,12.3076923076923,r2_w,win,two
goodp,end,9.61538461538462,r2_w,win,two
other,end,30.3846153846154,r2_w,win,two
question,end,8.84615384615385,r2_w,win,two
request,end,4.23076923076923,r2_w,win,two
badp,start,0.964630225080386,r1_w,win,one
caction,start,2.2508038585209,r1_w,win,one
cdesign,start,7.39549839228296,r1_w,win,one
cinfo,start,15.4340836012862,r1_w,win,one
comment,start,3.21543408360129,r1_w,win,one
game,start,16.7202572347267,r1_w,win,one
goodp,start,4.5016077170418,r1_w,win,one
other,start,36.0128617363344,r1_w,win,one
question,start,8.68167202572347,r1_w,win,one
request,start,4.82315112540193,r1_w,win,one
caction,middle,1.92926045016077,r1_w,win,one
cdesign,middle,13.1832797427653,r1_w,win,one
cinfo,middle,11.2540192926045,r1_w,win,one
comment,middle,2.57234726688103,r1_w,win,one
game,middle,12.2186495176849,r1_w,win,one
goodp,middle,4.82315112540193,r1_w,win,one
other,middle,36.9774919614148,r1_w,win,one
question,middle,10.9324758842444,r1_w,win,one
request,middle,6.10932475884244,r1_w,win,one
badp,end,1.25,r1_w,win,one
caction,end,3.75,r1_w,win,one
cdesign,end,7.8125,r1_w,win,one
cinfo,end,15.625,r1_w,win,one
comment,end,1.25,r1_w,win,one
game,end,18.4375,r1_w,win,one
goodp,end,4.0625,r1_w,win,one
other,end,32.1875,r1_w,win,one
question,end,8.4375,r1_w,win,one
request,end,7.1875,r1_w,win,one
badp,start,2.94117647058823,r1_l,lose,one
caction,start,2.94117647058823,r1_l,lose,one
cdesign,start,7.84313725490196,r1_l,lose,one
cinfo,start,5.88235294117647,r1_l,lose,one
comment,start,3.92156862745098,r1_l,lose,one
game,start,18.6274509803922,r1_l,lose,one
goodp,start,0.980392156862745,r1_l,lose,one
other,start,40.1960784313726,r1_l,lose,one
question,start,7.84313725490196,r1_l,lose,one
request,start,8.82352941176471,r1_l,lose,one
caction,middle,7.84313725490196,r1_l,lose,one
cdesign,middle,3.92156862745098,r1_l,lose,one
cinfo,middle,8.82352941176471,r1_l,lose,one
comment,middle,6.86274509803922,r1_l,lose,one
game,middle,17.6470588235294,r1_l,lose,one
goodp,middle,1.96078431372549,r1_l,lose,one
other,middle,39.2156862745098,r1_l,lose,one
question,middle,7.84313725490196,r1_l,lose,one
request,middle,5.88235294117647,r1_l,lose,one
badp,end,3.96039603960396,r1_l,lose,one
caction,end,7.92079207920792,r1_l,lose,one
cdesign,end,8.91089108910891,r1_l,lose,one
cinfo,end,4.95049504950495,r1_l,lose,one
comment,end,2.97029702970297,r1_l,lose,one
game,end,6.93069306930693,r1_l,lose,one
goodp,end,7.92079207920792,r1_l,lose,one
other,end,42.5742574257426,r1_l,lose,one
question,end,8.91089108910891,r1_l,lose,one
request,end,4.95049504950495,r1_l,lose,one
