category,parts,number
badp,a,2.941176470588235
caction,a,2.941176470588235
cdesign,a,7.8431372549019605
cinfo,a,5.88235294117647
comment,a,3.9215686274509802
game,a,18.627450980392158
goodp,a,0.9803921568627451
other,a,40.19607843137255
question,a,7.8431372549019605
request,a,8.823529411764707
caction,b,7.8431372549019605
cdesign,b,3.9215686274509802
cinfo,b,8.823529411764707
comment,b,6.862745098039216
game,b,17.647058823529413
goodp,b,1.9607843137254901
other,b,39.21568627450981
question,b,7.8431372549019605
request,b,5.88235294117647
badp,c,3.9603960396039604
caction,c,7.920792079207921
cdesign,c,8.91089108910891
cinfo,c,4.9504950495049505
comment,c,2.9702970297029703
game,c,6.9306930693069315
goodp,c,7.920792079207921
other,c,42.57425742574257
question,c,8.91089108910891
request,c,4.9504950495049505
