,index,event,event_code,time,user,message,category,code,diff,group,parts
0,1747,match round one,8,[1:16:39] ,laughswithknives,its out on steam atprtsd,other,10,1,1,a
1,1748,match round one,8,[1:16:39] ,souljasleet,you smurf,other,10,1,1,a
2,1749,match round one,8,[1:16:40] ,djscope,bundle is out now on the east coast,game,9,1,1,a
3,1750,match round one,8,[1:16:40] ,ravengear,poor two p,other,10,1,1,a
4,1751,match round one,8,[1:16:41] ,megatonbeef,must wait for bundle,game,9,1,1,a
5,1752,match round one,8,[1:16:42] ,ssjdill,snk giving free dlc and we gotta spend fm after waiting months,other,10,1,1,a
6,1753,match round one,8,[1:16:43] ,phoolish,her intro is freakin amazing,cdesign,4,1,1,a
7,1754,match round one,8,[1:16:43] ,darnellplayer,damuffinman doodbro,other,10,1,1,a
8,1755,match round one,8,[1:16:44] ,thecheeze,umehonda lol,other,10,1,1,b
9,1756,match round one,8,[1:16:48] ,poorygone,smurf too,other,10,1,1,b
10,1757,match round one,8,[1:16:52] ,squalladv,perdon,cdesign,4,1,1,b
11,1758,match round one,8,[1:16:56] ,fluffysheap,bundle leaked early onsteam,game,9,1,1,b
12,1759,match round one,8,[1:16:56] ,gregcanela,smurfs are out,other,10,1,1,b
13,1760,match round one,8,[1:16:57] ,cmplete,bundle is out now on steam,game,9,1,1,b
14,1761,match round one,8,[1:17:01] ,thelexnard,his chp is sooo much slower in this game than sfiv lol,cinfo,5,1,1,b
15,1762,match round one,8,[1:17:01] ,flyerthanabird,the bundle is out now,game,9,1,1,b
16,1763,match round one,8,[1:17:07] ,ventolin,not on psn djscope,other,10,1,1,c
17,1764,match round one,8,[1:17:09] ,chronodragon,hondas theme in this game,cdesign,4,1,1,c
18,1765,match round one,8,[1:17:11] ,mexicanlew,httpstwittercomscrubsurastatus,other,10,1,1,c
19,1766,match round one,8,[1:17:12] ,miketales,almost half life gone and hes hit you times,caction,3,1,1,c
20,1767,match round one,8,[1:17:18] ,squalladv,umehonda ohmydog,other,10,1,1,c
21,1768,match round one,8,[1:17:25] ,damuffinman,oh god hondas ass,cdesign,4,1,1,c
22,1769,match round one,8,[1:17:26] ,mikeyjoel,when you grab she says sorry in spanish haha perdon,question,8,1,1,c
23,1770,match round one,8,[1:17:27] ,sweetbabybuddha,smurfer,other,10,1,1,c
24,1992,match round one,8,[1:23:05] ,ninjavanish,we bronze,other,10,222,2,a
25,1993,match round one,8,[1:23:06] ,vampirekoala,bronze,other,10,1,2,a
26,1994,match round one,8,[1:23:07] ,supermechakupo,vtrigger cancel combo so lots of scaling,caction,3,1,2,a
27,1995,match round one,8,[1:23:09] ,ghostfromrdstrike,bronze boyz reoboon,other,10,1,2,a
28,1996,match round one,8,[1:23:09] ,masonking,hey and chat,other,10,1,2,a
29,1997,match round one,8,[1:23:16] ,mosesthechosenone,hands are,cdesign,4,1,2,a
30,1998,match round one,8,[1:23:18] ,drunkennoodlez,light headbutt is,caction,3,1,2,a
31,1999,match round one,8,[1:23:19] ,valeriobr,bronze poooound,other,10,1,2,a
32,2000,match round one,8,[1:23:21] ,nosferatulive,headbutt,request,1,1,2,a
33,2001,match round one,8,[1:23:23] ,cluminati,isnt everyone honda,question,8,1,2,a
34,2002,match round one,8,[1:23:24] ,topgunlt,just hit his head,request,1,1,2,b
35,2003,match round one,8,[1:23:27] ,rorboy,rookies are killers,other,10,1,2,b
36,2004,match round one,8,[1:23:35] ,renpool,gotta respect the law,caction,3,1,2,b
37,2005,match round one,8,[1:23:40] ,someguyzero,honda makes bison look like a beotch,cinfo,5,1,2,b
38,2006,match round one,8,[1:23:42] ,goldcarats,really happy big boy honda finally made it in,cinfo,5,1,2,b
39,2007,match round one,8,[1:23:45] ,bendollarsign,ftl,other,10,1,2,b
40,2008,match round one,8,[1:23:49] ,jabmasher,is that tatsu an actual dp,question,8,1,2,b
41,2009,match round one,8,[1:23:52] ,bobdobbz,mosesthechosenone for mp,other,10,1,2,b
42,2010,match round one,8,[1:23:54] ,quoji,how does honda walk so fast,question,8,1,2,b
43,2011,match round one,8,[1:23:56] ,efonzerellie,it seems tough to actually link things with honda,cinfo,5,1,2,b
44,2012,match round one,8,[1:23:58] ,darnellplayer,dont say it,other,10,1,2,c
45,2013,match round one,8,[1:24:00] ,muenshter,lol,goodp,6,1,2,c
46,2014,match round one,8,[1:24:02] ,topgunlt,xd,goodp,6,1,2,c
47,2015,match round one,8,[1:24:03] ,ninjavanish,all headbutts are minus light is,caction,3,1,2,c
48,2016,match round one,8,[1:24:03] ,kfigueroa,honda looks sick,cdesign,4,1,2,c
49,2017,match round one,8,[1:24:04] ,dnut,lolol,goodp,6,1,2,c
50,2018,match round one,8,[1:24:04] ,goldcarats,chat how is hondas normals just tuned in,question,8,1,2,c
51,2019,match round one,8,[1:24:05] ,universefour,these characters look cool but i was hoping for c viper or makoto,game,9,1,2,c
52,2020,match round one,8,[1:24:05] ,poorygone,lmao he watching,other,10,1,2,c
53,2021,match round one,8,[1:24:05] ,bobdobbz,mosesthechosenone i believe,other,10,1,2,c
54,3642,match round one,8,[2:27:33] ,kiboshkaibutsu,got to see when we get to diamond,game,9,1621,3,a
55,3643,match round one,8,[2:27:33] ,battlebrn,kage,request,1,1,3,a
56,3644,match round one,8,[2:27:35] ,tw,is poison broken she was the only one i was really looking forward too,question,8,1,3,a
57,3645,match round one,8,[2:27:36] ,kristoffers,hahaaa,goodp,6,1,3,a
58,3646,match round one,8,[2:27:39] ,clack,floebully,other,10,1,3,a
59,3647,match round one,8,[2:27:39] ,squalladv,illspirations check final fight lucia artwork she is like this,cdesign,4,1,3,a
60,3648,match round one,8,[2:27:42] ,vuvu,its natural that the first thing u see is what she doesnt havebut shes got alot,cdesign,4,1,3,b
61,3649,match round one,8,[2:27:44] ,uchihajup,nostalgia costume,game,9,1,3,b
62,3650,match round one,8,[2:27:57] ,ghostfromrdstrike,predacn,other,10,1,3,b
63,3651,match round one,8,[2:28:01] ,roninwoof,nurselee oh i know just didnt know if what you said about relation was true lol,other,10,1,3,b
64,3652,match round one,8,[2:28:09] ,tw,dude that run she does is going to make me so mad,caction,3,1,3,b
65,3653,match round one,8,[2:28:24] ,someguyzero,eds a punk that lucia needs to put away behind bars,cinfo,5,1,3,b
66,3654,match round one,8,[2:28:30] ,vuvu,she got trex arms but shes got fkn ostrich legs as well,cdesign,4,1,3,c
67,3655,match round one,8,[2:28:31] ,ghostfromrdstrike,the music reohuh,cdesign,4,1,3,c
68,3656,match round one,8,[2:28:35] ,jejune,lol,goodp,6,1,3,c
69,3657,match round one,8,[2:28:36] ,poorygone,lmao,goodp,6,1,3,c
70,3658,match round one,8,[2:28:36] ,zyxwhitewind,nope,badp,7,1,3,c
71,3659,match round one,8,[2:28:36] ,sonicnerd,rip,badp,7,1,3,c
72,3731,match round one,8,[2:31:33] ,glovecold,how you lose to bum ed lol,question,8,72,4,a
73,3732,match round one,8,[2:31:34] ,moobot,join the arcade discord at httpsdiscordggesjxkm,other,10,1,4,a
74,3733,match round one,8,[2:31:40] ,themegamansam,ed players are diet ken players,other,10,1,4,a
75,3734,match round one,8,[2:31:41] ,bgamr,he saw right through you,comment,2,1,4,a
76,3735,match round one,8,[2:31:45] ,swiftruina,bully defeated,comment,2,1,4,b
77,3736,match round one,8,[2:31:48] ,sonicnerd,he knows youre a smurf so he wants to punish you more,comment,2,1,4,b
78,3737,match round one,8,[2:31:54] ,inodmyheadwhenilose,ed feeling himself,other,10,1,4,b
79,3738,match round one,8,[2:32:03] ,sidebysidefgc,so does she not have a lowforward cancel,question,8,1,4,b
80,3739,match round one,8,[2:32:06] ,alphardegw,punish the sweeeps plzzz,request,1,1,4,c
81,3740,match round one,8,[2:32:07] ,tomfromtheclouds,ed top tier confirmed curselit curselit curselit,other,10,1,4,c
82,3741,match round one,8,[2:32:13] ,vuvu,and kens are rashid lite,cinfo,5,1,4,c
83,3742,match round one,8,[2:32:23] ,someguyzero,he knows youre salty,comment,2,1,4,c
84,3834,match round one,8,[2:38:27] ,kristoffers,honda,request,1,92,5,a
85,3835,match round one,8,[2:38:27] ,squalladv,zyxwhitewind similar check capcomchannel for the trailer in japanese,request,1,1,5,a
86,3836,match round one,8,[2:38:38] ,squalladv,zyxwhitewind on yt,other,10,1,5,a
87,3837,match round one,8,[2:38:41] ,sidebysidefgc,lets go hondy,cinfo,5,1,5,a
88,3838,match round one,8,[2:38:42] ,kristoffers,man its refreshing to see some new characters,comment,2,1,5,a
89,3839,match round one,8,[2:38:43] ,megatonbeef,gameart most psn update is monday night tuesday morning,game,9,1,5,b
90,3840,match round one,8,[2:38:45] ,kristoffers,its been so long,comment,2,1,5,b
91,3841,match round one,8,[2:38:52] ,zyxwhitewind,aiight,other,10,1,5,b
92,3842,match round one,8,[2:38:56] ,solitudegaming,honda looka like such a beast in sfv,cdesign,4,1,5,b
93,3843,match round one,8,[2:38:57] ,predacn,about time the og was complete,game,9,1,5,b
94,3844,match round one,8,[2:38:57] ,kiboshkaibutsu,jp voice little better,cdesign,4,1,5,c
95,3845,match round one,8,[2:39:02] ,muenshter,that sick,caction,3,1,5,c
96,3846,match round one,8,[2:39:04] ,lemmegetanumber,does he really say fuck you up,question,8,1,5,c
97,3847,match round one,8,[2:39:04] ,beatsbynoelbrown,e hugo,cinfo,5,1,5,c
98,3848,match round one,8,[2:39:04] ,hilikusss,ganyru looks dope,cdesign,4,1,5,c
99,3849,match round one,8,[2:39:09] ,sidebysidefgc,thats so good omg,goodp,6,1,5,c
100,3996,match round one,8,[2:47:46] ,oozzzy,summer character bundle,game,9,147,6,a
101,3997,match round one,8,[2:47:48] ,beatsbynoelbrown,expect a patch in january,game,9,1,6,a
102,3998,match round one,8,[2:47:48] ,squalladv,tisnomad actually is gb update,other,10,1,6,a
103,3999,match round one,8,[2:47:50] ,easxl,bonchan,other,10,1,6,a
104,4000,match round one,8,[2:47:51] ,laverde,bonchan,other,10,1,6,a
105,4001,match round one,8,[2:47:51] ,muenshter,bonchan won evo,other,10,1,6,a
106,4002,match round one,8,[2:47:53] ,roninwoof,problem x i think,other,10,1,6,a
107,4003,match round one,8,[2:47:55] ,kiboshkaibutsu,g for chrs,other,10,1,6,a
108,4004,match round one,8,[2:47:57] ,roninwoof,oh,other,10,1,6,b
109,4005,match round one,8,[2:48:02] ,predacn,bon muthafukin chan,other,10,1,6,b
110,4006,match round one,8,[2:48:02] ,kiboshkaibutsu,new stage,game,9,1,6,b
111,4007,match round one,8,[2:48:04] ,muenshter,problem x came in like th,other,10,1,6,b
112,4008,match round one,8,[2:48:06] ,megatonbeef,infexious won i saw it,other,10,1,6,b
113,4009,match round one,8,[2:48:08] ,ustinodj,mexicanlew slightly,other,10,1,6,b
114,4010,match round one,8,[2:48:08] ,robzoobie,wohoo more time with a shitty broken ed nice,other,10,1,6,b
115,4011,match round one,8,[2:48:14] ,squalladv,the new stage is or k fm,game,9,1,6,b
116,4012,match round one,8,[2:48:20] ,sidebysidefgc,dont forget to get your free tried at the bison skin,other,10,1,6,c
117,4013,match round one,8,[2:48:20] ,poorygone,infex won,other,10,1,6,c
118,4014,match round one,8,[2:48:21] ,easxl,bonchans sagat was looking clean against infexious,other,10,1,6,c
119,4015,match round one,8,[2:48:21] ,theenygma,sometimes when games patch you redownload files so youre not adding gigs youre dling files you already have,other,10,1,6,c
120,4016,match round one,8,[2:48:23] ,renpool,she has a slide too,cinfo,5,1,6,c
121,4017,match round one,8,[2:48:27] ,roninwoof,did bonchan win with sagat,other,10,1,6,c
122,4018,match round one,8,[2:48:28] ,bunky,k,other,10,1,6,c
123,4019,match round one,8,[2:48:33] ,muenshter,infex came in rd,other,10,1,6,c
124,4020,match round one,8,[2:48:33] ,squalladv,thx,other,10,1,6,c
125,4095,match round one,8,[2:53:00] ,1,ghostfromrdstrike he probably does a quick kamehameha to fly up,caction,3,75,7,a
126,4096,match round one,8,[2:53:00] ,senpai,yes top tier tights,cinfo,5,1,7,a
127,4097,match round one,8,[2:53:01] ,freakyyyy,smurf vs smurf,game,9,1,7,a
128,4098,match round one,8,[2:53:03] ,laughswithknives,is it him atpjuntao,question,8,1,7,a
129,4099,match round one,8,[2:53:05] ,poorygone,honda got abs over his belly,cdesign,4,1,7,a
130,4100,match round one,8,[2:53:08] ,bananeeftw,umehonda,other,10,1,7,a
131,4101,match round one,8,[2:53:09] ,ragingmarmot,its that hinda,other,10,1,7,a
132,4102,match round one,8,[2:53:10] ,freakyyyy,face your sins vesoer,other,10,1,7,b
133,4103,match round one,8,[2:53:11] ,ghostfromrdstrike,ehh maybe,other,10,1,7,b
134,4104,match round one,8,[2:53:11] ,zyxwhitewind,same guy that beat you before,comment,2,1,7,b
135,4105,match round one,8,[2:53:12] ,laughswithknives,its russ,other,10,1,7,b
136,4106,match round one,8,[2:53:15] ,shinyakimura,this guy made an account just for honda,comment,2,1,7,b
137,4107,match round one,8,[2:53:16] ,bunky,oh its the smurf from earlier,comment,2,1,7,b
138,4108,match round one,8,[2:53:16] ,clinnamon,parallel smurf careers remember those fond rookie days from an hour ago,comment,2,1,7,b
139,4109,match round one,8,[2:53:21] ,sidebysidefgc,it should have been ehaigo umehonda,request,1,1,7,c
140,4110,match round one,8,[2:53:30] ,bobdobbz,rashidoo have you seen honda slap his ass after fierce or roundhouse,question,8,1,7,c
141,4111,match round one,8,[2:53:31] ,swiftruina,umehonda,other,10,1,7,c
142,4112,match round one,8,[2:53:33] ,ghostfromrdstrike,ill take roshi once all the important ones get added to dbfz first,comment,2,1,7,c
143,4113,match round one,8,[2:53:33] ,laverde,might come back,comment,2,1,7,c
144,4114,match round one,8,[2:53:48] ,sidebysidefgc,no,badp,7,1,7,c
145,4150,match round one,8,[2:55:16] ,alexiidx,is this,question,8,36,8,a
146,4151,match round one,8,[2:55:17] ,empgeneraltsochicken,about to be his th win,comment,2,1,8,a
147,4152,match round one,8,[2:55:17] ,ghostfromrdstrike,plus why stop supporting dbfz when its only been years,comment,2,1,8,a
148,4153,match round one,8,[2:55:19] ,kiboshkaibutsu,how plus are those hands,question,8,1,8,a
149,4154,match round one,8,[2:55:21] ,shinyakimura,honda definitely has robbery with his auto corner vtrigger,cinfo,5,1,8,a
150,4155,match round one,8,[2:55:21] ,predacn,honda deserves all the love,cinfo,5,1,8,a
151,4156,match round one,8,[2:55:22] ,aitcho,oh shit,badp,7,1,8,a
152,4157,match round one,8,[2:55:25] ,freakyyyy,somo,badp,7,1,8,a
153,4158,match round one,8,[2:55:27] ,aitcho,cross eyed,cdesign,4,1,8,a
154,4159,match round one,8,[2:55:29] ,sidebysidefgc,oooo he has that spin sweep,caction,3,1,8,b
155,4160,match round one,8,[2:55:30] ,tokenblackdood,honda the metabreaker,cinfo,5,1,8,b
156,4161,match round one,8,[2:55:34] ,poorygone,yo he just clapped you shet,caction,3,1,8,b
157,4162,match round one,8,[2:55:40] ,aitcho,whoa,goodp,6,1,8,b
158,4163,match round one,8,[2:55:43] ,tomfromtheclouds,blankrack,other,10,1,8,b
159,4164,match round one,8,[2:55:44] ,theenygma,ghostfromrdstrike i dont know ask marvel infinite,other,10,1,8,b
160,4165,match round one,8,[2:55:45] ,predacn,put some respect on the ogs name,other,10,1,8,b
161,4166,match round one,8,[2:55:48] ,izicken,dat stop sign,game,9,1,8,b
162,4167,match round one,8,[2:55:49] ,lemmegetanumber,he has the neutral hp,cinfo,5,1,8,b
163,4168,match round one,8,[2:55:56] ,kiboshkaibutsu,ppl catching hands for dayz now,caction,3,1,8,c
164,4169,match round one,8,[2:55:58] ,lemmegetanumber,neutral jump hp rather,caction,3,1,8,c
165,4170,match round one,8,[2:56:04] ,beatsbynoelbrown,leg kickin you like his name is anderson silva,caction,3,1,8,c
166,4171,match round one,8,[2:56:09] ,shinyakimura,his vreversal looks really good,cdesign,4,1,8,c
167,4172,match round one,8,[2:56:18] ,ghostfromrdstrike,theenygma infinite failed before launch dbfz was a hit the second it was announced,game,9,1,8,c
168,4173,match round one,8,[2:56:20] ,clinnamon,the lawwww,caction,3,1,8,c
169,4174,match round one,8,[2:56:22] ,1,lame as super tho,caction,3,1,8,c
170,4175,match round one,8,[2:56:23] ,mrlawyer,how do people like tekken seriously its a shit game and boring as fuck,other,10,1,8,c
171,4176,match round one,8,[2:56:24] ,bloodwizardd,side switch combo,request,1,1,8,c
172,4513,match round one,8,[3:12:53] ,theenygma,season,other,10,337,9,a
173,4514,match round one,8,[3:12:56] ,bzcharkl,season for sc season for tekken,other,10,1,9,a
174,4515,match round one,8,[3:12:58] ,tokenblackdood,season new mechanics haohmaru and return characters,other,10,1,9,a
175,4516,match round one,8,[3:13:06] ,ghostfromrdstrike,kof was extremely fun just noone played it,other,10,1,9,a
176,4517,match round one,8,[3:13:07] ,lionheartrawr,setsuka confirmed for samsho,other,10,1,9,b
177,4518,match round one,8,[3:13:09] ,laverde,kpf series is so difficult but very rewarding,other,10,1,9,b
178,4519,match round one,8,[3:13:11] ,countmeowingtonn,im not sure if i should commit to sc im already dog shit at so many fighting games,other,10,1,9,b
179,4520,match round one,8,[3:13:12] ,dangalfthekrey,sc annoucements were sick af but im not sure about that little cameraangle changing mechanic they added to the game i hope they do away w that cameraangle shit,other,10,1,9,b
180,4521,match round one,8,[3:13:23] ,laughswithknives,king of oswald,other,10,1,9,c
181,4522,match round one,8,[3:13:26] ,khalz,when does s for tekken releasewanna check out the new stuff for akum,question,8,1,9,c
182,4523,match round one,8,[3:13:26] ,zyxwhitewind,so cassandra is season,other,10,1,9,c
183,4524,match round one,8,[3:13:33] ,roninwoof,start playing samsho stop hatin lol it was so hype at evo,other,10,1,9,c
184,4525,match round one,8,[3:13:37] ,empgeneraltsochicken,khalz next month,other,10,1,9,c
185,4617,match round one,8,[3:19:07] ,dangalfthekrey,i swear ratshits the most broken character in this game name one weakness he has ill wait,cinfo,5,92,10,a
186,4618,match round one,8,[3:19:11] ,lcspacely,i cant find the damn bundle tablehere flipthis,game,9,1,10,a
187,4619,match round one,8,[3:19:12] ,ustinodj,rashidoo do you wanna do lobbies,other,10,1,10,a
188,4620,match round one,8,[3:19:16] ,renpool,did u check out poison yet,question,8,1,10,a
189,4621,match round one,8,[3:19:17] ,kristoffers,i dont wanna imagine honda smashing anyone,cinfo,5,1,10,a
190,4622,match round one,8,[3:19:22] ,blacque,so is the new stuff fm only,other,10,1,10,a
191,4623,match round one,8,[3:19:27] ,swiftruina,rashid just needs to knock him down once,request,1,1,10,a
192,4624,match round one,8,[3:19:29] ,roninwoof,she sounds like cardi bthats new york ha,cdesign,4,1,10,a
193,4625,match round one,8,[3:19:30] ,beatsbynoelbrown,hes more of a ground and pound kristoffers,cdesign,4,1,10,a
194,4626,match round one,8,[3:19:31] ,rashidoo,oh that reminds me my ethernet cable broke,other,10,1,10,b
195,4627,match round one,8,[3:19:32] ,renpool,ducky gets no respect,other,10,1,10,b
196,4628,match round one,8,[3:19:35] ,megatonbeef,lcspacely not on psn yet,other,10,1,10,b
197,4629,match round one,8,[3:19:40] ,rashidoo,i have to go get a new one,other,10,1,10,b
198,4630,match round one,8,[3:19:42] ,mrvicent,lcspacely g oto store on the street fighter v scrol ldown on the dlc and click browse then look for it there,game,9,1,10,b
199,4631,match round one,8,[3:19:47] ,dangalfthekrey,blacque no u can get the character bundle,game,9,1,10,b
200,4632,match round one,8,[3:19:47] ,megasizer,ken vs ken,request,1,1,10,b
201,4633,match round one,8,[3:19:50] ,estarix,oh no we got chris tartarian over here,other,10,1,10,b
202,4634,match round one,8,[3:19:52] ,ustinodj,rashidoo doesnt matter you cant duck,caction,3,1,10,b
203,4635,match round one,8,[3:19:59] ,rashidoo,but iz gunna laaag,other,10,1,10,c
204,4636,match round one,8,[3:19:59] ,blacque,oh didnt see it on the steam let me double checks,other,10,1,10,c
205,4637,match round one,8,[3:20:02] ,darnellplayer,ken gets no respect due to too many people complaining and whining,cinfo,5,1,10,c
206,4638,match round one,8,[3:20:04] ,lcspacely,megatonbeef thats tough,other,10,1,10,c
207,4780,match round one,8,[3:29:11] ,ustinodj,lounge up under ustinodj pass,request,1,142,11,a
208,4781,match round one,8,[3:29:11] ,sagatatemycornflakes,so how much is the pack,question,8,1,11,a
209,4782,match round one,8,[3:29:17] ,lordcawfee,my name became a meme overnight,other,10,1,11,a
210,4783,match round one,8,[3:29:17] ,ghostfromrdstrike,the games that are most likely gonna be ps launch titles is last of us maybe spider man and probably a new ip,game,9,1,11,a
