category,parts,number
badp,a,0.964630225080386
caction,a,2.2508038585209005
cdesign,a,7.395498392282958
cinfo,a,15.434083601286176
comment,a,3.215434083601286
game,a,16.720257234726688
goodp,a,4.501607717041801
other,a,36.01286173633441
question,a,8.681672025723474
request,a,4.823151125401929
caction,b,1.929260450160772
cdesign,b,13.183279742765272
cinfo,b,11.254019292604502
comment,b,2.572347266881029
game,b,12.218649517684888
goodp,b,4.823151125401929
other,b,36.97749196141479
question,b,10.932475884244374
request,b,6.109324758842444
badp,c,1.25
caction,c,3.75
cdesign,c,7.8125
cinfo,c,15.625
comment,c,1.25
game,c,18.4375
goodp,c,4.0625
other,c,32.1875
question,c,8.4375
request,c,7.187499999999999
