index,event,event_code,time,user,message,category,code,diff
1097,match round one,8,[0:55:56] ,thelexnard,so what youre saying is fm is back,game,9,1
1098,match round one,8,[0:55:56] ,djcyclone,sup and chat evo was so damn good this year,game,9,1
1099,match round one,8,[0:55:58] ,sweetbabybuddha,b u l l y,other,10,1
1100,match round one,8,[0:56:03] ,jabmasher,i have like k left but theyre so precious might gonna buy the bundle instead,game,9,1
1101,match round one,8,[0:56:04] ,rd,i think the bundle is already out pretty sure i just picked it up on steam,game,9,1
1102,match round one,8,[0:56:04] ,poorygone,did sony announce anything,question,8,1
1103,match round one,8,[0:56:06] ,squalladv,who has bigger boobies and booty lucia or cammy thats the true question,question,8,1
1104,match round one,8,[0:56:08] ,rashidoo,blocking crossups,other,10,1
1105,match round one,8,[0:56:09] ,mstockwell,bundle is out,game,9,1
1106,match round one,8,[0:56:09] ,taken,im getting the bundle,game,9,1
1107,match round one,8,[0:56:09] ,megatonbeef,djcyclone so much hype,other,10,1
1108,match round one,8,[0:56:10] ,bymindx,are you on steam i thought the bundle is out,game,9,1
1109,match round one,8,[0:56:12] ,mir,another immoral session i see,other,10,1
1110,match round one,8,[0:56:13] ,serow,its out on steam,game,9,1
1111,match round one,8,[0:56:14] ,dvitra,fighting rookies,other,10,1
1112,match round one,8,[0:56:15] ,azraelgt,translation quit complaining start grinding,other,10,1
1113,match round one,8,[0:56:16] ,fscorn,bully time vesperrage,other,10,1
1114,match round one,8,[0:56:22] ,blingximus,burn to fight,request,1,1
1115,match round one,8,[0:56:24] ,hexapro,httpsstoresteampoweredcomappstreetfightervsummercharacterbundle,other,10,1
1116,match round one,8,[0:56:25] ,hennesyhufflepuf,rollback is a go,other,10,1
1117,match round one,8,[0:56:26] ,mtbd,you look like honda you should main him yo,comment,2,1
1118,match round one,8,[0:56:28] ,daveski,i just bought the bundle on steam,game,9,1
1119,match round one,8,[0:56:30] ,ninodiablo,the bundle is already out on some psn regions,game,9,1
1120,match round one,8,[0:56:31] ,drragemonster,lucia has no wake up and no armor on ex run rip,cdesign,4,1
1121,match round one,8,[0:56:31] ,johnieshabravo,who cut on the lag,question,8,1
1122,match round one,8,[0:56:37] ,enderhuntercep,p e r d o n,cinfo,5,1
1123,match round one,8,[0:56:38] ,majestichimeros,smurf arcade evocry evocry evocry,other,10,1
1124,match round one,8,[0:56:40] ,damonejr,what gives you that much fm in min,question,8,1
1125,match round one,8,[0:56:43] ,sonicboomattack,bully arcade at it again,other,10,1
1126,match round one,8,[0:56:43] ,inodmyheadwhenilose,man what a bully,other,10,1
1127,match round one,8,[0:56:44] ,ssjdill,good night any changes to the fight money system,game,9,1
1128,match round one,8,[0:56:45] ,ventolin,i dont see the bundle on ps can buy individual though,game,9,1
1129,match round one,8,[0:56:45] ,djcyclone,megatonbeef all the top s were so good,other,10,1
1130,match round one,8,[0:56:47] ,kfigueroa,bullying rookies this is why they dont play street fighter,game,9,1
1131,match round one,8,[0:56:47] ,someguyzero,suplex city,other,10,1
1132,match round one,8,[0:56:47] ,thatjapanesedude,why do you hate,question,8,1
1133,match round one,8,[0:56:48] ,undagroundsund,mtbd,other,10,1
1134,match round one,8,[0:56:49] ,thelexnard,that throw animation is godlike,cdesign,4,1
1135,match round one,8,[0:56:51] ,mallyumansky,lucia vs blue mary at summerslam book it vince lmao,cinfo,5,1
1136,match round one,8,[0:56:51] ,daverhodus,the bundle is out on steam,game,9,1
1137,match round one,8,[0:56:51] ,badarcade,k,other,10,1
1138,match round one,8,[0:56:52] ,elliotterodriguez,best lucia in canada,cinfo,5,1
1139,match round one,8,[0:56:54] ,fscorn,he did character story modes,game,9,1
1140,match round one,8,[0:56:56] ,fscorn,for the fm,other,10,1
1141,match round one,8,[0:56:56] ,ustinodj,is vdog bullying ppl again,other,10,1
1142,match round one,8,[0:56:57] ,jabmasher,damonejr character story mode,game,9,1
1143,match round one,8,[0:56:57] ,grumpyillegal,sheop,other,10,1
1144,match round one,8,[0:56:59] ,poorygone,told ja,other,10,1
1179,match round one,8,[0:58:12] ,thatjapanesedude,still hates lucia,cinfo,5,35
1180,match round one,8,[0:58:16] ,mir,ppplp sounds weird,cinfo,5,1
