,index,event,event_code,time,user,message,category,code,diff
0,1783,match round two,9,[1:17:42] ,poorygone,welcome back honda,caction,3,1.0
1,1784,match round two,9,[1:17:43] ,gruffgridof,losing to rookies,other,10,1.0
2,1785,match round two,9,[1:17:43] ,taken,on psn,other,10,1.0
3,1786,match round two,9,[1:17:44] ,spacedive,umehonda,other,10,1.0
4,1787,match round two,9,[1:17:45] ,mosesthechosenone,ex oicho damn,goodp,6,1.0
5,1788,match round two,9,[1:17:47] ,bobdobbz,hes on lp hands on block,caction,3,1.0
6,1789,match round two,9,[1:17:47] ,llesor,wait,other,10,1.0
7,1790,match round two,9,[1:17:48] ,toumakami,makes u want to play ehonda right,caction,3,1.0
8,1791,match round two,9,[1:17:48] ,inodmyheadwhenilose,the bully is getting bullied,caction,3,1.0
9,1792,match round two,9,[1:17:49] ,moravia,respect umehonda,caction,3,1.0
10,1793,match round two,9,[1:17:53] ,llesor,this is rashidoo right,question,8,1.0
11,1794,match round two,9,[1:17:55] ,majestichimeros,evocry evocry evocry,other,10,1.0
12,1795,match round two,9,[1:17:56] ,afroshouji,stop sign honda,caction,3,1.0
13,1796,match round two,9,[1:17:56] ,xcrv,that command grab looks so savge,caction,3,1.0
14,1797,match round two,9,[1:17:56] ,megatonbeef,stand up to bullies,other,10,1.0
15,1798,match round two,9,[1:17:58] ,sweetbabybuddha,big alex squats,other,10,1.0
16,1799,match round two,9,[1:17:59] ,variantx,edmondumehonda dude is an omega smurf,other,10,1.0
17,1800,match round two,9,[1:18:01] ,xsodarkcarver,the forward dash is fast,caction,3,1.0
18,1801,match round two,9,[1:18:03] ,dasmesee,ngl its nice to see honda back,caction,3,1.0
19,1802,match round two,9,[1:18:04] ,llesor,rashidoo is that you,question,8,1.0
20,1803,match round two,9,[1:18:10] ,renevbz,his theme is sick,cdesign,4,1.0
21,1804,match round two,9,[1:18:15] ,fedorabattlemaster,come back to us,request,1,1.0
22,1805,match round two,9,[1:18:16] ,bobdobbz,his dash is really good,caction,3,1.0
23,1806,match round two,9,[1:18:18] ,miketales,its so cool seeing honda in the game,caction,3,1.0
24,1807,match round two,9,[1:18:21] ,darnellplayer,damuffinman you missed a ken earlier and chat refuses to give ken respect smh,other,10,1.0
25,1808,match round two,9,[1:18:22] ,ventolin,hoodaman,other,10,1.0
26,1809,match round two,9,[1:18:26] ,izicken,agree sick theme,cdesign,4,1.0
27,1810,match round two,9,[1:18:27] ,souljasleet,wtf,badp,7,1.0
28,1811,match round two,9,[1:18:29] ,squalladv,probably a honda main from sf who started played sfv with honda,cinfo,5,1.0
29,1875,match round two,9,[1:20:21] ,ghostfromrdstrike,told ya,other,10,64.0
30,1876,match round two,9,[1:20:22] ,renevbz,fuck the police scarfayaya cosmoayaya,game,9,1.0
31,1877,match round two,9,[1:20:22] ,zyxwhitewind,doodbigbrain,other,10,1.0
32,1878,match round two,9,[1:20:25] ,poorygone,where are the poison smurfs,question,8,1.0
33,1879,match round two,9,[1:20:34] ,drunkennoodlez,lucia looks super fun too,cinfo,5,1.0
34,1880,match round two,9,[1:20:40] ,kfigueroa,nerf lucia,cinfo,5,1.0
35,1881,match round two,9,[1:20:41] ,jackedalot,hondas walking animation looks like he means business,cdesign,4,1.0
36,1882,match round two,9,[1:20:44] ,bobdobbz,pretty minus,cinfo,5,1.0
37,1883,match round two,9,[1:20:45] ,mrmuddyk,doodfive doodfive,other,10,1.0
38,1884,match round two,9,[1:20:45] ,universefour,drunkennoodlez agreed,other,10,1.0
39,1885,match round two,9,[1:20:51] ,marocels,need a soundboard,cdesign,4,1.0
40,1886,match round two,9,[1:20:53] ,muenshter,pretty nice ex fireball,cdesign,4,1.0
41,1887,match round two,9,[1:20:53] ,someguyzero,you gonna eat a ca,other,10,1.0
42,1888,match round two,9,[1:21:04] ,shadowdancer,it kicked in his face,caction,3,1.0
43,1889,match round two,9,[1:21:06] ,poorygone,lmao,goodp,6,1.0
44,1890,match round two,9,[1:21:07] ,ghostfromrdstrike,hold that ass,caction,3,1.0
45,1891,match round two,9,[1:21:07] ,enzo,lmao,goodp,6,1.0
46,1892,match round two,9,[1:21:09] ,slimcrim,new chars and years with no netcode corgiderp,game,9,1.0
47,1893,match round two,9,[1:21:10] ,shinzo,as a juri player lucia makes me happy even if she is like a hybrid shoto,cdesign,4,1.0
48,1894,match round two,9,[1:21:10] ,ryoman,hold that,request,1,1.0
49,1895,match round two,9,[1:21:13] ,taken,xd,goodp,6,1.0
50,1896,match round two,9,[1:21:14] ,vampirekoala,wow,goodp,6,1.0
51,1897,match round two,9,[1:21:15] ,aaron,dem cheeks lol,cdesign,4,1.0
52,1898,match round two,9,[1:21:16] ,bobdobbz,like,goodp,6,1.0
53,1899,match round two,9,[1:21:17] ,thatjapanesedude,this guy is a rookie,comment,2,1.0
54,1900,match round two,9,[1:21:17] ,muenshter,lolll,goodp,6,1.0
55,1901,match round two,9,[1:21:17] ,yamsandjams,lolol,goodp,6,1.0
56,1902,match round two,9,[1:21:18] ,valeriobr,auhauhauha,other,10,1.0
57,1903,match round two,9,[1:21:19] ,ragingmarmot,hahaha,goodp,6,1.0
58,1904,match round two,9,[1:21:19] ,laughswithknives,ahahahaha,other,10,1.0
59,2038,match round two,9,[1:24:22] ,sweetbabybuddha,the bully gets bullied,caction,3,134.0
60,2039,match round two,9,[1:24:31] ,txlead,hahahaha,goodp,6,1.0
61,2040,match round two,9,[1:24:38] ,dnut,hondas walk speed is ridiculous,caction,3,1.0
62,2041,match round two,9,[1:24:45] ,shinzo,httpsclipstwitchtvglutenfreefaintcroquettestinkycheese,other,10,1.0
63,2042,match round two,9,[1:24:45] ,ghostfromrdstrike,get em edmond reoboon,request,1,1.0
64,2043,match round two,9,[1:24:51] ,squalladv,rookie,other,10,1.0
65,2044,match round two,9,[1:24:52] ,melloww,get you bully,other,10,1.0
66,2045,match round two,9,[1:24:52] ,vampirekoala,rank down,other,10,1.0
67,2046,match round two,9,[1:24:58] ,lurknazmonster,are you being bullied or letting him win,question,8,1.0
68,2047,match round two,9,[1:25:00] ,taken,xd,goodp,6,1.0
69,2048,match round two,9,[1:25:00] ,goldcarats,how is hondas footsies,question,8,1.0
70,2049,match round two,9,[1:25:01] ,rashidoo,losing to a rookie,other,10,1.0
71,2153,match round two,9,[1:28:04] ,supermechakupo,bundle is out on pc and regions outside of na psn,game,9,104.0
72,2154,match round two,9,[1:28:06] ,eltoneocy,bonchan,other,10,1.0
73,2155,match round two,9,[1:28:07] ,ezous,really omg,other,10,1.0
74,2156,match round two,9,[1:28:07] ,mrmuddyk,swiftrage noooooo,other,10,1.0
75,2157,match round two,9,[1:28:11] ,battlebrn,yes im playing it on pc now,game,9,1.0
76,2158,match round two,9,[1:28:14] ,mrmuddyk,poison looks fun,cinfo,5,1.0
77,2159,match round two,9,[1:28:22] ,kirb,i bought it the dlc pack on steam and when i play it they dont show up,game,9,1.0
78,2160,match round two,9,[1:28:22] ,melloww,these smurfs are ruining the poor rookies free weekend,game,9,1.0
79,2161,match round two,9,[1:28:24] ,infectedjazz,gonna check if bundle is out on ps,game,9,1.0
80,2162,match round two,9,[1:28:25] ,darnellplayer,ed fireball motion with her feet instead oh dear,caction,3,1.0
81,2163,match round two,9,[1:28:25] ,battlebrn,these models look better up close,game,9,1.0
82,2164,match round two,9,[1:28:26] ,bobdobbz,whats that frame data site,question,8,1.0
83,2165,match round two,9,[1:28:26] ,mosesthechosenone,poison dot,request,1,1.0
84,2166,match round two,9,[1:28:31] ,megafloraa,how much is the pack,game,9,1.0
85,2167,match round two,9,[1:28:36] ,hurked,nice,goodp,6,1.0
86,2168,match round two,9,[1:28:36] ,aminefifty,moonl,other,10,1.0
87,2169,match round two,9,[1:28:36] ,gruffgridof,tyrantwhip tyrantwhip tyrantwhip tyrantwhip tyrantwhip,other,10,1.0
88,2170,match round two,9,[1:28:38] ,nytecrawla,my man said eron black im weak fairyklul fairyklul fairyklul fairyklul fairyklul,other,10,1.0
89,2171,match round two,9,[1:28:39] ,jayvokz,poison w no fb or rekkas,cinfo,5,1.0
90,2172,match round two,9,[1:28:42] ,gregcanela,poison can spank me anytime,cinfo,5,1.0
