index,event,event_code,time,user,message,category,code
1783,match round two,9,[1:17:42] ,poorygone,welcome back honda,caction,3
1784,match round two,9,[1:17:43] ,gruffgridof,losing to rookies,other,10
1785,match round two,9,[1:17:43] ,taken,on psn,other,10
1786,match round two,9,[1:17:44] ,spacedive,umehonda,other,10
1787,match round two,9,[1:17:45] ,mosesthechosenone,ex oicho damn,goodp,6
1788,match round two,9,[1:17:47] ,bobdobbz,hes on lp hands on block,caction,3
1789,match round two,9,[1:17:47] ,llesor,wait,other,10
1790,match round two,9,[1:17:48] ,toumakami,makes u want to play ehonda right,caction,3
1791,match round two,9,[1:17:48] ,inodmyheadwhenilose,the bully is getting bullied,caction,3
1792,match round two,9,[1:17:49] ,moravia,respect umehonda,caction,3
1793,match round two,9,[1:17:53] ,llesor,this is rashidoo right,question,8
1794,match round two,9,[1:17:55] ,majestichimeros,evocry evocry evocry,other,10
1795,match round two,9,[1:17:56] ,afroshouji,stop sign honda,caction,3
1796,match round two,9,[1:17:56] ,xcrv,that command grab looks so savge,caction,3
1797,match round two,9,[1:17:56] ,megatonbeef,stand up to bullies,other,10
1798,match round two,9,[1:17:58] ,sweetbabybuddha,big alex squats,other,10
1799,match round two,9,[1:17:59] ,variantx,edmondumehonda dude is an omega smurf,other,10
1800,match round two,9,[1:18:01] ,xsodarkcarver,the forward dash is fast,caction,3
1801,match round two,9,[1:18:03] ,dasmesee,ngl its nice to see honda back,caction,3
1802,match round two,9,[1:18:04] ,llesor,rashidoo is that you,question,8
1803,match round two,9,[1:18:10] ,renevbz,his theme is sick,cdesign,4
1804,match round two,9,[1:18:15] ,fedorabattlemaster,come back to us,request,1
1805,match round two,9,[1:18:16] ,bobdobbz,his dash is really good,caction,3
1806,match round two,9,[1:18:18] ,miketales,its so cool seeing honda in the game,caction,3
1807,match round two,9,[1:18:21] ,darnellplayer,damuffinman you missed a ken earlier and chat refuses to give ken respect smh,other,10
1808,match round two,9,[1:18:22] ,ventolin,hoodaman,other,10
1809,match round two,9,[1:18:26] ,izicken,agree sick theme,cdesign,4
1810,match round two,9,[1:18:27] ,souljasleet,wtf,badp,7
1811,match round two,9,[1:18:29] ,squalladv,probably a honda main from sf who started played sfv with honda,cinfo,5
1875,match round two,9,[1:20:21] ,ghostfromrdstrike,told ya,other,10
1876,match round two,9,[1:20:22] ,renevbz,fuck the police scarfayaya cosmoayaya,game,9
1877,match round two,9,[1:20:22] ,zyxwhitewind,doodbigbrain,other,10
1878,match round two,9,[1:20:25] ,poorygone,where are the poison smurfs,question,8
1879,match round two,9,[1:20:34] ,drunkennoodlez,lucia looks super fun too,cinfo,5
1880,match round two,9,[1:20:40] ,kfigueroa,nerf lucia,cinfo,5
1881,match round two,9,[1:20:41] ,jackedalot,hondas walking animation looks like he means business,cdesign,4
1882,match round two,9,[1:20:44] ,bobdobbz,pretty minus,cinfo,5
1883,match round two,9,[1:20:45] ,mrmuddyk,doodfive doodfive,other,10
1884,match round two,9,[1:20:45] ,universefour,drunkennoodlez agreed,other,10
1885,match round two,9,[1:20:51] ,marocels,need a soundboard,cdesign,4
1886,match round two,9,[1:20:53] ,muenshter,pretty nice ex fireball,cdesign,4
1887,match round two,9,[1:20:53] ,someguyzero,you gonna eat a ca,other,10
1888,match round two,9,[1:21:04] ,shadowdancer,it kicked in his face,caction,3
1889,match round two,9,[1:21:06] ,poorygone,lmao,goodp,6
1890,match round two,9,[1:21:07] ,ghostfromrdstrike,hold that ass,caction,3
1891,match round two,9,[1:21:07] ,enzo,lmao,goodp,6
1892,match round two,9,[1:21:09] ,slimcrim,new chars and years with no netcode corgiderp,game,9
1893,match round two,9,[1:21:10] ,shinzo,as a juri player lucia makes me happy even if she is like a hybrid shoto,cdesign,4
1894,match round two,9,[1:21:10] ,ryoman,hold that,request,1
1895,match round two,9,[1:21:13] ,taken,xd,goodp,6
1896,match round two,9,[1:21:14] ,vampirekoala,wow,goodp,6
1897,match round two,9,[1:21:15] ,aaron,dem cheeks lol,cdesign,4
1898,match round two,9,[1:21:16] ,bobdobbz,like,goodp,6
1899,match round two,9,[1:21:17] ,thatjapanesedude,this guy is a rookie,comment,2
1900,match round two,9,[1:21:17] ,muenshter,lolll,goodp,6
1901,match round two,9,[1:21:17] ,yamsandjams,lolol,goodp,6
1902,match round two,9,[1:21:18] ,valeriobr,auhauhauha,other,10
1903,match round two,9,[1:21:19] ,ragingmarmot,hahaha,goodp,6
1904,match round two,9,[1:21:19] ,laughswithknives,ahahahaha,other,10
2038,match round two,9,[1:24:22] ,sweetbabybuddha,the bully gets bullied,caction,3
2039,match round two,9,[1:24:31] ,txlead,hahahaha,goodp,6
2040,match round two,9,[1:24:38] ,dnut,hondas walk speed is ridiculous,caction,3
2041,match round two,9,[1:24:45] ,shinzo,httpsclipstwitchtvglutenfreefaintcroquettestinkycheese,other,10
2042,match round two,9,[1:24:45] ,ghostfromrdstrike,get em edmond reoboon,request,1
2043,match round two,9,[1:24:51] ,squalladv,rookie,other,10
2044,match round two,9,[1:24:52] ,melloww,get you bully,other,10
2045,match round two,9,[1:24:52] ,vampirekoala,rank down,other,10
2046,match round two,9,[1:24:58] ,lurknazmonster,are you being bullied or letting him win,question,8
2047,match round two,9,[1:25:00] ,taken,xd,goodp,6
2048,match round two,9,[1:25:00] ,goldcarats,how is hondas footsies,question,8
2049,match round two,9,[1:25:01] ,rashidoo,losing to a rookie,other,10
2153,match round two,9,[1:28:04] ,supermechakupo,bundle is out on pc and regions outside of na psn,game,9
2154,match round two,9,[1:28:06] ,eltoneocy,bonchan,other,10
2155,match round two,9,[1:28:07] ,ezous,really omg,other,10
2156,match round two,9,[1:28:07] ,mrmuddyk,swiftrage noooooo,other,10
2157,match round two,9,[1:28:11] ,battlebrn,yes im playing it on pc now,game,9
2158,match round two,9,[1:28:14] ,mrmuddyk,poison looks fun,cinfo,5
2159,match round two,9,[1:28:22] ,kirb,i bought it the dlc pack on steam and when i play it they dont show up,game,9
2160,match round two,9,[1:28:22] ,melloww,these smurfs are ruining the poor rookies free weekend,game,9
2161,match round two,9,[1:28:24] ,infectedjazz,gonna check if bundle is out on ps,game,9
2162,match round two,9,[1:28:25] ,darnellplayer,ed fireball motion with her feet instead oh dear,caction,3
2163,match round two,9,[1:28:25] ,battlebrn,these models look better up close,game,9
2164,match round two,9,[1:28:26] ,bobdobbz,whats that frame data site,question,8
2165,match round two,9,[1:28:26] ,mosesthechosenone,poison dot,request,1
2166,match round two,9,[1:28:31] ,megafloraa,how much is the pack,game,9
2167,match round two,9,[1:28:36] ,hurked,nice,goodp,6
2168,match round two,9,[1:28:36] ,aminefifty,moonl,other,10
2169,match round two,9,[1:28:36] ,gruffgridof,tyrantwhip tyrantwhip tyrantwhip tyrantwhip tyrantwhip,other,10
2170,match round two,9,[1:28:38] ,nytecrawla,my man said eron black im weak fairyklul fairyklul fairyklul fairyklul fairyklul,other,10
2171,match round two,9,[1:28:39] ,jayvokz,poison w no fb or rekkas,cinfo,5
2172,match round two,9,[1:28:42] ,gregcanela,poison can spank me anytime,cinfo,5
2173,match round two,9,[1:28:45] ,nosferatulive,the bundle is same price as purchasing all,game,9
2174,match round two,9,[1:28:46] ,poorygone,yes its good,goodp,6
2175,match round two,9,[1:28:48] ,supermechakupo,infectedjazz its not out in na yet,game,9
2176,match round two,9,[1:28:52] ,sshomes,english poison doesnt have good sounding ora ora,cdesign,4
2177,match round two,9,[1:28:53] ,valeriobr,aihauhauaha,caction,3
2178,match round two,9,[1:28:53] ,majestichimeros,giveplz giveplz giveplz,other,10
2179,match round two,9,[1:28:54] ,yamsandjams,lol,goodp,6
2180,match round two,9,[1:28:56] ,squalladv,doodmako,goodp,6
2181,match round two,9,[1:28:56] ,mrmuddyk,what,goodp,6
2182,match round two,9,[1:28:59] ,azraelgt,bobdobbz httpssfvsimcomdiff,other,10
2183,match round two,9,[1:29:00] ,peepcan,huh,badp,7
2184,match round two,9,[1:29:01] ,clinnamon,nice,goodp,6
2185,match round two,9,[1:29:02] ,gregcanela,you can fake whip,request,1
2186,match round two,9,[1:29:03] ,enzo,booty pose,caction,3
2187,match round two,9,[1:29:03] ,ragingmarmot,then there is a swimsuit bundle for,game,9
2188,match round two,9,[1:29:05] ,drunkennoodlez,wait she has a stance,caction,3
2189,match round two,9,[1:29:07] ,zyxwhitewind,stance character,caction,3
2190,match round two,9,[1:29:08] ,someguyzero,another stream sniper,caction,3
2191,match round two,9,[1:29:08] ,damierreid,the range on that charge,caction,3
2192,match round two,9,[1:29:10] ,infectedjazz,supermechakupo live in eu maybe up here i dunno,other,10
2193,match round two,9,[1:29:13] ,poorygone,she got stances,cinfo,5
2194,match round two,9,[1:29:13] ,fightersarg,fighteorgybros fighteorgybros fighteorgybros,other,10
2195,match round two,9,[1:29:14] ,ragingmarmot,and the hinda stage isnt in either bundle,game,9
2196,match round two,9,[1:29:17] ,bobdobbz,azraelgt thanks,other,10
2197,match round two,9,[1:29:18] ,supermechakupo,infectedjazz youre good then,other,10
2268,match round two,9,[1:32:51] ,dtested,you can also vtrigger from it into sweep juggle combo,request,1
2269,match round two,9,[1:33:03] ,squalladv,tarzan mixups,game,9
2270,match round two,9,[1:33:08] ,llesor,she should use st mk more,request,1
2271,match round two,9,[1:33:12] ,horseapples,poison,cinfo,5
2272,match round two,9,[1:33:21] ,taken,im glad posion has a whip now,cdesign,4
2273,match round two,9,[1:33:24] ,melloww,shinzo youd be surprised how many newbies run ranked straight away,game,9
2274,match round two,9,[1:33:31] ,crypticrumpet,was there a balance patch,question,8
2275,match round two,9,[1:33:34] ,dtested,or qsbk combo,other,10
2276,match round two,9,[1:33:37] ,jaynines,anyone know how to buy characters on psn only giving me fight money option,game,9
4026,match round two,9,[2:48:49] ,squalladv,pieceandabiscuit yes to delete kari,other,10
4027,match round two,9,[2:48:53] ,squalladv,pieceandabiscuit karin,other,10
4028,match round two,9,[2:48:56] ,sacredsilence,what do u guys think about zeku and falke,question,8
4029,match round two,9,[2:48:59] ,shinyakimura,roninwoof he did use sagat all the way in some of the matches,other,10
4030,match round two,9,[2:49:03] ,pieceandabiscuit,lol,goodp,6
4031,match round two,9,[2:49:06] ,mrlawyer,infexious got bodied by rashid,other,10
4032,match round two,9,[2:49:12] ,sidebysidefgc,zeku is sick falke needs something,other,10
4033,match round two,9,[2:49:18] ,megatonbeef,sacredsilence zeku is hype falke is boring,other,10
4034,match round two,9,[2:49:21] ,sidebysidefgc,like a personality,other,10
4035,match round two,9,[2:49:28] ,roninwoof,i want hom to win the final with sagat,other,10
