index,event,event_code,time,user,message,category,code
1145,match round two,9,[0:57:01] ,rashidoo,drragemonster her ex srk kick is an invincible reversal,caction,3
1146,match round two,9,[0:57:03] ,leoarod,how much for honda,question,8
1147,match round two,9,[0:57:05] ,hulkbusterv,lag city,game,9
1148,match round two,9,[0:57:08] ,sicayou,lmao sf netcode,other,10
1149,match round two,9,[0:57:08] ,ssjdill,any changes to the fight money system,question,8
1150,match round two,9,[0:57:12] ,yamsandjams,lol,goodp,6
1151,match round two,9,[0:57:19] ,blingximus,yo this lag tho,other,10
1152,match round two,9,[0:57:20] ,inodmyheadwhenilose,confirm,other,10
1153,match round two,9,[0:57:21] ,megatonbeef,djcyclone dragon ball was a nail bitter and infil back to win was cool,other,10
1154,match round two,9,[0:57:26] ,majestichimeros,smurf,other,10
1155,match round two,9,[0:57:27] ,blingximus,i forgot about this netcode,other,10
1156,match round two,9,[0:57:34] ,poorygone,welcome back to sf,game,9
1157,match round two,9,[0:57:37] ,madmaxtwch,is there a way to share fight money i have million and i dont play the game anymore,question,8
1158,match round two,9,[0:57:38] ,tehwrecker,what lag this is the new netcode,question,8
1159,match round two,9,[0:57:39] ,rashidoo,bully,other,10
1160,match round two,9,[0:57:40] ,igcrj,any height variation in lucias fireball,caction,3
1161,match round two,9,[0:57:40] ,hurked,win quit this bitch,cinfo,5
1162,match round two,9,[0:57:41] ,inodmyheadwhenilose,bully,other,10
1163,match round two,9,[0:57:44] ,ibukitanooki,blonde fighter v,cdesign,4
1164,match round two,9,[0:57:51] ,kfigueroa,not a rookie,other,10
1165,match round two,9,[0:57:51] ,grumpyillegal,she op need nerf,other,10
1199,match round two,9,[0:59:10] ,squalladv,did she just say perdon sorry in spanish,cdesign,4
1200,match round two,9,[0:59:10] ,xxhildyxx,blingximus i just tuned in but no and now im big sad,other,10
1201,match round two,9,[0:59:10] ,mtbd,looking forward to the lucia swimsuit,other,10
1202,match round two,9,[0:59:11] ,thecheeze,she is kind of good to use i admit,cdesign,4
1203,match round two,9,[0:59:20] ,hanzosword,still not as annoying as fang poison,cdesign,4
1204,match round two,9,[0:59:20] ,hulkbusterv,just do it,request,1
1205,match round two,9,[0:59:22] ,slowmosapien,the reads,other,10
1206,match round two,9,[0:59:31] ,elliotterodriguez,kappaross fucking mash,caction,3
1207,match round two,9,[0:59:31] ,tristar,blonde fighter if u include men,cdesign,4
1208,match round two,9,[0:59:31] ,mrlawyer,is she stronger than karin,cinfo,5
1209,match round two,9,[0:59:33] ,thatjapanesedude,this guy is no rookie,other,10
1210,match round two,9,[0:59:37] ,inodmyheadwhenilose,he teched,other,10
1211,match round two,9,[0:59:42] ,biglil,german suplex atpchar,other,10
1212,match round two,9,[0:59:48] ,supershinobi,is the ps character bundle hidden somewhere in the store,game,9
1213,match round two,9,[0:59:55] ,battlebrn,this new character is growing on me i didnt think she would,cdesign,4
1214,match round two,9,[1:00:02] ,blingximus,ayy she kinda cool,cdesign,4
1215,match round two,9,[1:00:04] ,taken,sick,goodp,6
1216,match round two,9,[1:00:06] ,mora,nicely done overswpop,goodp,6
1217,match round two,9,[1:00:06] ,johnieshabravo,shes so sick,goodp,6
1218,match round two,9,[1:00:07] ,patonline,does she played like ken,caction,3
1219,match round two,9,[1:00:07] ,megatonbeef,supershinobi i cant find it either,game,9
1220,match round two,9,[1:00:07] ,megawarrior,will lucia dethrone karin as our new blonde queen,question,8
1297,match round two,9,[1:02:26] ,slylataupe,where the trials done,question,8
1298,match round two,9,[1:02:27] ,roxlyn,kupa kawfee good name bro,goodp,6
1299,match round two,9,[1:02:30] ,freakyyyy,is cheater,other,10
1300,match round two,9,[1:02:34] ,redhotjoe,megatonbeef yup,other,10
1301,match round two,9,[1:02:39] ,thatjapanesedude,did you see the new guilty trailer,question,8
1302,match round two,9,[1:02:40] ,melloww,out here bullying rookies,other,10
1303,match round two,9,[1:02:41] ,shadowdancer,man the guys is trying to enjoy free week and is bulling him,other,10
1304,match round two,9,[1:02:42] ,thumbles,kinda like cody rock,cdesign,4
1305,match round two,9,[1:02:46] ,poorygone,bully arcade,other,10
1306,match round two,9,[1:02:50] ,someguyzero,mashing grab,request,1
1307,match round two,9,[1:02:51] ,squalladv,kupakawfee was the perfect name account p,comment,2
1308,match round two,9,[1:02:54] ,rd,her hurricane kick looks like codys vskill,caction,3
1309,match round two,9,[1:02:58] ,johnieshabravo,lcd,goodp,6
1310,match round two,9,[1:02:58] ,davidfosterflawless,wow,goodp,6
1311,match round two,9,[1:03:02] ,davidfosterflawless,it stays active,goodp,6
1312,match round two,9,[1:03:05] ,ssjdill,you think these characters would get people interested in sf again,game,9
1349,match round two,9,[1:04:27] ,freakyyyy,cup of kwuafee,other,10
1350,match round two,9,[1:04:36] ,spacedive,so is she top tier,question,8
1351,match round two,9,[1:04:37] ,thelexnard,day optimization,other,10
1352,match round two,9,[1:04:38] ,squalladv,perdon,caction,3
1353,match round two,9,[1:04:40] ,pinksoul,lmao poor sakura,cinfo,5
1502,match round two,9,[1:08:40] ,hulkbusterv,honda has a nice ass,cdesign,4
1503,match round two,9,[1:08:40] ,gregcanela,thats a thicc ass,cdesign,4
1504,match round two,9,[1:08:41] ,someguyzero,i dont like hondabullying lucia swiftrage,caction,3
1505,match round two,9,[1:08:42] ,greyseerrob,honda is hawt kappapride,cdesign,4
1506,match round two,9,[1:08:43] ,abdulalm,no one like honda lol,cdesign,4
1507,match round two,9,[1:08:46] ,cellus,i want viper,request,1
1508,match round two,9,[1:08:47] ,inodmyheadwhenilose,this chat is just weebs,other,10
1509,match round two,9,[1:08:49] ,drunkennoodlez,honda is sickkkk fuck the haters,cdesign,4
1510,match round two,9,[1:08:49] ,cellus,still,other,10
1511,match round two,9,[1:08:49] ,badarcade,can those cheeks clap times,question,8
1512,match round two,9,[1:08:56] ,rashidoo,yeah honder is cool,cinfo,5
1513,match round two,9,[1:08:57] ,darnellplayer,i didnt want honda but world warriors want him,cinfo,5
1514,match round two,9,[1:08:59] ,johnliq,honda looks good,cdesign,4
1515,match round two,9,[1:08:59] ,ninjavanish,its good to have honda back,cinfo,5
1516,match round two,9,[1:09:00] ,darknessragepr,her fb looking like ks from kof,cdesign,4
1517,match round two,9,[1:09:06] ,keikei,i want honda in jst a thong,cdesign,4
1518,match round two,9,[1:09:08] ,leoguimaraes,hondas throw is a hump,caction,3
1519,match round two,9,[1:09:08] ,squalladv,honda is really great designed for sfv,cdesign,4
1520,match round two,9,[1:09:08] ,megatonbeef,honda isnt the same without miek russ,cinfo,5
1521,match round two,9,[1:09:12] ,mir,headbutt got anti air hitboxes for the first three frames or so,caction,3
1522,match round two,9,[1:09:12] ,poorygone,hondas damage tho,cinfo,5
1523,match round two,9,[1:09:15] ,mir,also shp,other,10
1524,match round two,9,[1:09:19] ,thelexnard,you need to give someone a kupakawfee,other,10
1617,match round two,9,[1:12:06] ,poorygone,told ja,other,10
1618,match round two,9,[1:12:06] ,nosferatulive,wake up fireball,request,1
1619,match round two,9,[1:12:08] ,someguyzero,she must be kens long lost sister,cinfo,5
1620,match round two,9,[1:12:08] ,aaron,hes a fortnite player trying out for the first time,other,10
1621,match round two,9,[1:12:09] ,robobishop,lucia legit just better ken,cinfo,5
1622,match round two,9,[1:12:11] ,zyxwhitewind,this guy isnt silver yet,other,10
1623,match round two,9,[1:12:20] ,mrmuddyk,at least his connection is good,other,10
1624,match round two,9,[1:12:21] ,darnellplayer,komradekontroll i call heavy bs with this card,other,10
1625,match round two,9,[1:12:22] ,thiir,does her low medium kick cancelable,question,8
1626,match round two,9,[1:12:24] ,shawnu,lucil give me strength,request,1
1627,match round two,9,[1:12:31] ,thelexnard,every time i see this stage i think of the snes sfii turbo box art,game,9
1628,match round two,9,[1:12:33] ,clinnamon,her kicking those fireballs is kinda sick,caction,3
1629,match round two,9,[1:12:36] ,paulowebtv,not bad,goodp,6
1630,match round two,9,[1:12:36] ,mrmuddyk,not badnot ba,goodp,6
1631,match round two,9,[1:12:39] ,moravia,ken players,cinfo,5
1632,match round two,9,[1:12:45] ,ajrea,p oo p p p p p oo p,other,10
1633,match round two,9,[1:12:49] ,badarcade,they both say not bad,cinfo,5
1634,match round two,9,[1:12:50] ,cellus,the double grab whiff god,cinfo,5
1678,match round two,9,[1:14:21] ,fedorabattlemaster,is this ceroblasts console account,question,8
1679,match round two,9,[1:14:29] ,squalladv,dasmesee half the females char in sfv are nor blonde,cdesign,4
1680,match round two,9,[1:14:31] ,mrsolodolo,end a combo with her v skill she plus on hit,request,1
1681,match round two,9,[1:14:35] ,someguyzero,kens learning,caction,3
1682,match round two,9,[1:14:37] ,squalladv,dasmesee more than half actually,cdesign,4
1683,match round two,9,[1:14:38] ,topgunlt,itll be good against those annoying side switchers,cinfo,5
1684,match round two,9,[1:14:39] ,thedarkfenix,i think we spoke too soon she grew on me k ken,cinfo,5
1685,match round two,9,[1:14:40] ,poorygone,her stance is derived from final fight and they look weird,cdesign,4
1686,match round two,9,[1:14:46] ,mrlawyer,guys is her dp slow just like urien ed and falke,question,8
1687,match round two,9,[1:14:54] ,dangalfthekrey,dasmesee ikr its like capcom doesnt know theres more kinds of white people than nordics,game,9
1688,match round two,9,[1:14:57] ,garlandu,these dps are giving me ptsd,cinfo,5
1689,match round two,9,[1:14:58] ,gregcanela,hey take this,request,1
1690,match round two,9,[1:14:59] ,mrmuddyk,wow,goodp,6
1691,match round two,9,[1:15:01] ,thelexnard,no bar used too,caction,3
1692,match round two,9,[1:15:02] ,someguyzero,bouncing fireball,caction,3
1693,match round two,9,[1:15:02] ,taken,o,goodp,6
1694,match round two,9,[1:15:04] ,eeega,not bad,goodp,6
2204,match round two,9,[1:29:30] ,brandx,honda s trial damage seems broken too pffff,cinfo,5
2205,match round two,9,[1:29:32] ,mrmuddyk,web swing,other,10
2206,match round two,9,[1:29:34] ,azraelgt,mjan,other,10
2207,match round two,9,[1:29:35] ,melloww,thats a plat player,cinfo,5
2208,match round two,9,[1:29:36] ,ahnima,tarzan swing lol,caction,3
2209,match round two,9,[1:29:40] ,azraelgt,fucking keyboard,caction,3
2210,match round two,9,[1:29:42] ,hennesyhufflepuf,qcb hk into super,other,10
2211,match round two,9,[1:29:42] ,ustinodj,anyone wanna do lobbies,question,8
2212,match round two,9,[1:29:49] ,renevbz,lame theme,cdesign,4
2213,match round two,9,[1:29:51] ,tristar,everybodys smurfin,game,9
2214,match round two,9,[1:29:54] ,valeriobr,tarzan tactics,caction,3
2215,match round two,9,[1:29:55] ,dtested,sounds like someone shouldve done trials,caction,3
2216,match round two,9,[1:29:55] ,poorygone,that swing can avoid fireball too,caction,3
2217,match round two,9,[1:29:56] ,topgunlt,sf secretly turning into mvc,game,9
2218,match round two,9,[1:29:56] ,tristar,laracrazy,other,10
2219,match round two,9,[1:29:57] ,beatsbynoelbrown,did you see poisons ex donger,question,8
2220,match round two,9,[1:29:58] ,bobdobbz,azraelgt lol,goodp,6
2221,match round two,9,[1:30:02] ,leafretv,hyperrollontft,other,10
2222,match round two,9,[1:30:05] ,majestichimeros,new top tier sf playing rookie division,game,9
2223,match round two,9,[1:30:05] ,azraelgt,ustinodj downloading patch i can tomorrow tho,game,9
2224,match round two,9,[1:30:06] ,pequenospock,this guy is a lol player,comment,2
2225,match round two,9,[1:30:20] ,valeriobr,welcome smurfs d,game,9
2226,match round two,9,[1:30:23] ,ensanesane,no rookie goes for that,comment,2
2227,match round two,9,[1:30:33] ,melloww,poor plebs trying the game out on free weekened only to get greeted by diamond players bullying them,comment,2
2395,match round two,9,[1:37:15] ,magicjerryfresh,this seems like a sako replacement for kage,cinfo,5
