,index,event,event_code,time,user,message,category,code,diff,group,parts
0,1145,match round two,9,[0:57:01] ,rashidoo,drragemonster her ex srk kick is an invincible reversal,caction,3,1,1,a
1,1146,match round two,9,[0:57:03] ,leoarod,how much for honda,question,8,1,1,a
2,1147,match round two,9,[0:57:05] ,hulkbusterv,lag city,game,9,1,1,a
3,1148,match round two,9,[0:57:08] ,sicayou,lmao sf netcode,other,10,1,1,a
4,1149,match round two,9,[0:57:08] ,ssjdill,any changes to the fight money system,question,8,1,1,a
5,1150,match round two,9,[0:57:12] ,yamsandjams,lol,goodp,6,1,1,a
6,1151,match round two,9,[0:57:19] ,blingximus,yo this lag tho,other,10,1,1,a
7,1152,match round two,9,[0:57:20] ,inodmyheadwhenilose,confirm,other,10,1,1,b
8,1153,match round two,9,[0:57:21] ,megatonbeef,djcyclone dragon ball was a nail bitter and infil back to win was cool,other,10,1,1,b
9,1154,match round two,9,[0:57:26] ,majestichimeros,smurf,other,10,1,1,b
10,1155,match round two,9,[0:57:27] ,blingximus,i forgot about this netcode,other,10,1,1,b
11,1156,match round two,9,[0:57:34] ,poorygone,welcome back to sf,game,9,1,1,b
12,1157,match round two,9,[0:57:37] ,madmaxtwch,is there a way to share fight money i have million and i dont play the game anymore,question,8,1,1,b
13,1158,match round two,9,[0:57:38] ,tehwrecker,what lag this is the new netcode,question,8,1,1,b
14,1159,match round two,9,[0:57:39] ,rashidoo,bully,other,10,1,1,c
15,1160,match round two,9,[0:57:40] ,igcrj,any height variation in lucias fireball,caction,3,1,1,c
16,1161,match round two,9,[0:57:40] ,hurked,win quit this bitch,cinfo,5,1,1,c
17,1162,match round two,9,[0:57:41] ,inodmyheadwhenilose,bully,other,10,1,1,c
18,1163,match round two,9,[0:57:44] ,ibukitanooki,blonde fighter v,cdesign,4,1,1,c
19,1164,match round two,9,[0:57:51] ,kfigueroa,not a rookie,other,10,1,1,c
20,1165,match round two,9,[0:57:51] ,grumpyillegal,she op need nerf,other,10,1,1,c
21,1199,match round two,9,[0:59:10] ,squalladv,did she just say perdon sorry in spanish,cdesign,4,34,2,a
22,1200,match round two,9,[0:59:10] ,xxhildyxx,blingximus i just tuned in but no and now im big sad,other,10,1,2,a
23,1201,match round two,9,[0:59:10] ,mtbd,looking forward to the lucia swimsuit,other,10,1,2,a
24,1202,match round two,9,[0:59:11] ,thecheeze,she is kind of good to use i admit,cdesign,4,1,2,a
25,1203,match round two,9,[0:59:20] ,hanzosword,still not as annoying as fang poison,cdesign,4,1,2,a
26,1204,match round two,9,[0:59:20] ,hulkbusterv,just do it,request,1,1,2,a
27,1205,match round two,9,[0:59:22] ,slowmosapien,the reads,other,10,1,2,a
28,1206,match round two,9,[0:59:31] ,elliotterodriguez,kappaross fucking mash,caction,3,1,2,b
29,1207,match round two,9,[0:59:31] ,tristar,blonde fighter if u include men,cdesign,4,1,2,b
30,1208,match round two,9,[0:59:31] ,mrlawyer,is she stronger than karin,cinfo,5,1,2,b
31,1209,match round two,9,[0:59:33] ,thatjapanesedude,this guy is no rookie,other,10,1,2,b
32,1210,match round two,9,[0:59:37] ,inodmyheadwhenilose,he teched,other,10,1,2,b
33,1211,match round two,9,[0:59:42] ,biglil,german suplex atpchar,other,10,1,2,b
34,1212,match round two,9,[0:59:48] ,supershinobi,is the ps character bundle hidden somewhere in the store,game,9,1,2,b
35,1213,match round two,9,[0:59:55] ,battlebrn,this new character is growing on me i didnt think she would,cdesign,4,1,2,c
36,1214,match round two,9,[1:00:02] ,blingximus,ayy she kinda cool,cdesign,4,1,2,c
37,1215,match round two,9,[1:00:04] ,taken,sick,goodp,6,1,2,c
38,1216,match round two,9,[1:00:06] ,mora,nicely done overswpop,goodp,6,1,2,c
39,1217,match round two,9,[1:00:06] ,johnieshabravo,shes so sick,goodp,6,1,2,c
40,1218,match round two,9,[1:00:07] ,patonline,does she played like ken,caction,3,1,2,c
41,1219,match round two,9,[1:00:07] ,megatonbeef,supershinobi i cant find it either,game,9,1,2,c
42,1220,match round two,9,[1:00:07] ,megawarrior,will lucia dethrone karin as our new blonde queen,question,8,1,2,c
43,1297,match round two,9,[1:02:26] ,slylataupe,where the trials done,question,8,77,3,a
44,1298,match round two,9,[1:02:27] ,roxlyn,kupa kawfee good name bro,goodp,6,1,3,a
45,1299,match round two,9,[1:02:30] ,freakyyyy,is cheater,other,10,1,3,a
46,1300,match round two,9,[1:02:34] ,redhotjoe,megatonbeef yup,other,10,1,3,a
47,1301,match round two,9,[1:02:39] ,thatjapanesedude,did you see the new guilty trailer,question,8,1,3,a
48,1302,match round two,9,[1:02:40] ,melloww,out here bullying rookies,other,10,1,3,b
49,1303,match round two,9,[1:02:41] ,shadowdancer,man the guys is trying to enjoy free week and is bulling him,other,10,1,3,b
50,1304,match round two,9,[1:02:42] ,thumbles,kinda like cody rock,cdesign,4,1,3,b
51,1305,match round two,9,[1:02:46] ,poorygone,bully arcade,other,10,1,3,b
52,1306,match round two,9,[1:02:50] ,someguyzero,mashing grab,request,1,1,3,b
53,1307,match round two,9,[1:02:51] ,squalladv,kupakawfee was the perfect name account p,comment,2,1,3,c
54,1308,match round two,9,[1:02:54] ,rd,her hurricane kick looks like codys vskill,caction,3,1,3,c
55,1309,match round two,9,[1:02:58] ,johnieshabravo,lcd,goodp,6,1,3,c
56,1310,match round two,9,[1:02:58] ,davidfosterflawless,wow,goodp,6,1,3,c
57,1311,match round two,9,[1:03:02] ,davidfosterflawless,it stays active,goodp,6,1,3,c
58,1312,match round two,9,[1:03:05] ,ssjdill,you think these characters would get people interested in sf again,game,9,1,3,c
59,1349,match round two,9,[1:04:27] ,freakyyyy,cup of kwuafee,other,10,37,4,a
60,1350,match round two,9,[1:04:36] ,spacedive,so is she top tier,question,8,1,4,a
61,1351,match round two,9,[1:04:37] ,thelexnard,day optimization,other,10,1,4,b
62,1352,match round two,9,[1:04:38] ,squalladv,perdon,caction,3,1,4,b
63,1353,match round two,9,[1:04:40] ,pinksoul,lmao poor sakura,cinfo,5,1,4,c
64,1502,match round two,9,[1:08:40] ,hulkbusterv,honda has a nice ass,cdesign,4,149,5,a
65,1503,match round two,9,[1:08:40] ,gregcanela,thats a thicc ass,cdesign,4,1,5,a
66,1504,match round two,9,[1:08:41] ,someguyzero,i dont like hondabullying lucia swiftrage,caction,3,1,5,a
67,1505,match round two,9,[1:08:42] ,greyseerrob,honda is hawt kappapride,cdesign,4,1,5,a
68,1506,match round two,9,[1:08:43] ,abdulalm,no one like honda lol,cdesign,4,1,5,a
69,1507,match round two,9,[1:08:46] ,cellus,i want viper,request,1,1,5,a
70,1508,match round two,9,[1:08:47] ,inodmyheadwhenilose,this chat is just weebs,other,10,1,5,a
71,1509,match round two,9,[1:08:49] ,drunkennoodlez,honda is sickkkk fuck the haters,cdesign,4,1,5,b
