event,time,user,message,category,code
,[0:00:06] ,sandmana,ahhhh,other,10
,[0:00:17] ,fscorn,lets get it started,request,1
,[0:00:22] ,asairaven,look at this lucia main,cinfo,5
,[0:00:26] ,sandmana,i see youre starting with this character,cinfo,5
,[0:00:28] ,fscorn,hawt dawg,other,10
,[0:00:31] ,llesor,yoooooooooo,other,10
,[0:00:37] ,llesor,fighting games are great etc,game,9
,[0:00:53] ,sandmana,but what about the stoory,question,8
,[0:01:02] ,harrisonnuk,yo,other,10
,[0:01:02] ,casualweeb,yo,other,10
,[0:01:03] ,rashidoo,what about the trials,question,8
,[0:01:09] ,paulstar,bro did u see the guilty gear announcement,question,8
,[0:01:11] ,rashidoo,best single player content,game,9
,[0:01:11] ,zyxwhitewind,we in there boyz,other,10
,[0:01:15] ,yomothewanderer,its ya boyyyy,comment,2
,[0:01:16] ,momenti,bout damn time lol,comment,2
,[0:01:18] ,paulowebtv,sup heyguys,other,10
,[0:01:19] ,sadodragon,u playing this whack character,cinfo,5
,[0:01:20] ,momenti,she fun bro lol,cinfo,5
,[0:01:21] ,xavbadguy,yooooooo wadup vespaaaaaa,other,10
,[0:01:25] ,paulowebtv,lucia paulowblanka,cinfo,5
,[0:01:25] ,sadodragon,reowink,other,10
,[0:01:25] ,yomothewanderer,we back,other,10
,[0:01:28] ,llesor,inb viewers,other,10
,[0:01:32] ,zyxwhitewind,yooo,other,10
,[0:01:40] ,xavbadguy,lucia hypeeee,cinfo,5
,[0:01:43] ,shungokusatsu,is poison a trans,question,8
,[0:01:46] ,asairaven,we all had a cup of coffee,other,10
,[0:01:52] ,sandmana,f story,other,10
,[0:01:53] ,zyxwhitewind,i like this one,comment,2
,[0:01:55] ,rashidoo,hype,other,10
,[0:02:01] ,sandmana,are you not intrigued,question,8
,[0:02:02] ,coffintactics,i think im switching to tekken as my main game lol,other,10
,[0:02:06] ,deeznutforever,where honda at,question,8
,[0:02:07] ,jratigan,everyone was watching smash but dont want to admit it,other,10
,[0:02:09] ,xavbadguy,yoooooooo,other,10
,[0:02:10] ,coffintactics,jk looks good,cdesign,4
,[0:02:12] ,mexicanlew,heyguys heyguys,other,10
,[0:02:13] ,xavbadguy,cant wait for gg,comment,2
,[0:02:30] ,sadodragon,you playing this whack ass character,cinfo,5
,[0:02:30] ,hydropnica,sumoptsthp smugelinevaseline,other,10
,[0:02:32] ,mexicanlew,omg love the name,cinfo,5
,[0:02:34] ,obscenetv,hey,other,10
,[0:02:49] ,leoguimaraes,so is starting with his fav character,cinfo,5
,[0:02:50] ,zyxwhitewind,fuck i was guilty of that last time,other,10
,[0:02:54] ,nodthenbow,sup did you see me win evo,question,8
,[0:02:55] ,mexicanlew,cr hp seems like her anti air,cdesign,4
,[0:02:56] ,obscenetv,is there a bundle for the new characters,question,8
,[0:03:04] ,megamikex,y not watching smash evo,question,8
,[0:03:11] ,paulstar,are there one frame links in that game,question,8
,[0:03:15] ,rashidoo,d,other,10
,[0:03:18] ,llesor,d,other,10
,[0:03:20] ,yomothewanderer,spelling it with a k as reference to him abandoning mk,other,10
,[0:03:28] ,pondersleuth,what up,question,8
,[0:03:31] ,yamsandjams,i heard i got get some kawfee here,other,10
,[0:03:32] ,llesor,nodthenbow im sure you did your best,other,10
,[0:03:34] ,yamsandjams,wheres my kawfee,question,8
,[0:03:35] ,megamikex,give us ultimate analysis,request,1
,[0:03:38] ,yamsandjams,anyone got my kawfee,question,8
,[0:03:39] ,cobaltscyth,still sticking with the sfv risen from the ashes thing,other,10
,[0:03:40] ,nodthenbow,i didnt get destroyed u fucks,other,10
,[0:04:00] ,dongerswag,so how do you like lucia,question,8
,[0:04:08] ,dongerswag,best character yeah,cinfo,5
,[0:04:14] ,freakyyyy,lucia first remember,cinfo,5
,[0:04:14] ,bunky,risen from the ashes bigphish,other,10
,[0:04:18] ,fernadiee,her normals arent as stuby as you think,cinfo,5
,[0:04:19] ,yamsandjams,check taunt animation,other,10
,[0:04:19] ,hexapro,hey guys,other,10
,[0:04:20] ,jackedalot,of course lucias first vespers favorite,cinfo,5
,[0:04:24] ,sandmana,no,other,10
,[0:04:29] ,masterjunpei,i am here for my new waifu,other,10
,[0:04:29] ,sandmana,its a trap dont taunt,other,10
,[0:04:31] ,jratigan,i forgot final fight was even a thing,other,10
,[0:04:32] ,finitude,stage looks great,game,9
,[0:04:44] ,jratigan,oh right ponytail haggar,cdesign,4
,[0:04:49] ,kfigueroa,lucia and not honda,cinfo,5
,[0:04:52] ,dongerswag,i had work and missed sfv finals sadly but i saw who won i bet ur happy even though it wasnt your hero caba,comment,2
,[0:04:52] ,spydermanga,yo jonesafistbump,other,10
,[0:04:57] ,nodthenbow,check taunt then straight to online,other,10
,[0:04:59] ,avantistarre,have you shown off the tauntfull idle animation,other,10
,[0:05:04] ,raixuchiha,sup,other,10
,[0:05:08] ,sandmana,no,other,10
,[0:05:11] ,sandmana,its a trap,other,10
,[0:05:13] ,jackedalot,i have to wait for this gb patch first no new characters for me tonight,other,10
,[0:05:14] ,quetutes,with that account you know you have to taunt people right,other,10
,[0:05:19] ,finitude,lol,goodp,6
,[0:05:21] ,masterjunpei,oh shes gorgeous,cdesign,4
,[0:05:27] ,sandmana,tpfufun,goodp,6
,[0:05:27] ,jratigan,mistah j is in another game,other,10
,[0:05:32] ,cobaltscyth,how is there already an emote xd,question,8
,[0:05:33] ,senranrose,jackedalot same holy cow,other,10
,[0:05:34] ,rashidoo,smurf squad comin thru,other,10
,[0:05:35] ,masterjunpei,give me that,request,1
,[0:05:36] ,spydermanga,did you buy the bundle or just lucia on your own dime,question,8
,[0:05:37] ,rashidoo,u smurfin ustin,other,10
,[0:05:57] ,llesor,cammy,other,10
,[0:05:58] ,azraelgt,heyo heyo everyone,other,10
,[0:05:59] ,bunky,bundles not out till tomorrow,game,9
,[0:06:04] ,zincthehedgehog,needa cupa kuwaaaafee,other,10
,[0:06:10] ,sandmana,oh it actually is frames,other,10
,[0:06:12] ,shinobiaj,hey are you gonna main leroy in tekken,question,8
,[0:06:24] ,azraelgt,shes really fast isnt it,caction,3
,[0:06:30] ,ninjavanish,sup and chat,other,10
,[0:06:33] ,rashidoo,yeah tekken now has both negan and king ezekiel,other,10
,[0:06:34] ,rashidoo,what say you,question,8
,[0:06:38] ,risemix,honda butt stomp cross up vortex is back,caction,3
,[0:06:39] ,azraelgt,heyo ninjavanish,other,10
,[0:06:48] ,bert,so pc has the new dlc characters not ps,game,9
,[0:06:52] ,johnieshabravo,low tier huh,game,9
,[0:06:53] ,fscorn,does she have a nashken dash,question,8
,[0:07:05] ,shevcchenko,lucia o,cinfo,5
,[0:07:12] ,swiftruina,well well well look who ended up playing lucia after trashing her and pretending to like her on youtube,comment,2
,[0:07:27] ,dongerswag,the whole character looks good she had the best design right after falke and g,cdesign,4
,[0:07:36] ,dpgimenez,her normals are stubb and her damage is poor,cinfo,5
,[0:07:41] ,fernadiee,shes already better than cammy,cinfo,5
,[0:07:43] ,fernadiee,haahhahhaa,goodp,6
,[0:07:52] ,freakyyyy,the soundtrack of this stage is sickkk,game,9
,[0:07:55] ,leoguimaraes,ban lucia,request,1
,[0:07:57] ,gruffgridof,i like her german suplex animation,cdesign,4
,[0:07:57] ,themegaguy,themegaguy subscribed with twitch prime theyve subscribed for months yo wut up guys vesperpalm how are the new characters,other,10
,[0:08:13] ,yamsandjams,more frames than juri in only a few button,cinfo,5
,[0:08:15] ,azraelgt,heyo themegaguy,other,10
,[0:08:19] ,badarcade,cammy ken,goodp,6
,[0:08:21] ,nodthenbow,cammy lol,goodp,6
,[0:08:21] ,bgamr,just looking at lucia does she have potential,question,8
,[0:08:32] ,liquidsnke,lucia is his favorite huh,comment,2
,[0:08:38] ,micksinjer,omg look how silly she walks lol,caction,3
,[0:08:41] ,leoguimaraes,her voice tho,cdesign,4
,[0:08:42] ,fernadiee,shes already better than cammy,cinfo,5
,[0:08:43] ,nodthenbow,check her ccs,request,1
,[0:08:43] ,gruffgridof,do the taunt,request,1
,[0:08:44] ,freakyyyy,ehonda plzz,request,1
,[0:08:50] ,inodmyheadwhenilose,no patch notes thats so lame,comment,2
,[0:08:51] ,admiralackbarssnackbar,admiralackbarssnackbar subscribed at tier theyve subscribed for months need kawfee,other,10
,[0:08:58] ,crmtic,whats new in the update gig update on ps,question,8
,[0:09:02] ,badarcade,cooooofe,other,10
,[0:09:04] ,rashidoo,hey do her taunt,request,1
,[0:09:08] ,happydichi,kawfee,other,10
,[0:09:13] ,hexapro,gween tee,other,10
,[0:09:14] ,variantx,variantx subscribed at tier theyve subscribed for months currently on a month streak yo whats it like to be able to eat again in sfv,other,10
,[0:09:24] ,freakyyyy,lol,goodp,6
,[0:09:30] ,spydermanga,what about her run,question,8
,[0:09:36] ,azraelgt,time,other,10
,[0:09:36] ,deeznutforever,what does she say during the taunt,question,8
,[0:09:40] ,zincthehedgehog,coffeegreen teaaaa,other,10
,[0:09:41] ,ishelix,this was supposed to be a honda strim,comment,2
,[0:09:44] ,badarcade,thhats a fast ass slide,caction,3
,[0:09:48] ,dongerswag,can she link off ch overhead,question,8
,[0:09:50] ,liquidsnke,inodmyheadwhenilose do you remember and the backlash,question,8
,[0:09:51] ,moravia,similar cammy taunt,caction,3
,[0:10:00] ,spydermanga,and unlike ken you can cancel it,caction,3
,[0:10:01] ,swiftruina,way faster than zekus,caction,3
,[0:10:03] ,johnieshabravo,she can combo st jb twice into her target combo,caction,3
,[0:10:03] ,fscorn,wow you can stop that early,caction,3
,[0:10:03] ,spacedive,lucia did you do a poll,question,8
