category,before_match,break,character_data,final_round,lose,round_one,round_two,win,player_standings,select_character,story,training,trials
badp,0,0,0,0,5,1,2,2,0,0,0,0,6
caction,2,0,0,0,5,3,6,9,0,0,7,4,6
cdesign,5,5,11,0,5,2,10,5,0,0,17,6,29
cinfo,7,16,11,0,7,8,9,6,0,14,14,6,6
comment,1,7,0,8,2,3,1,2,0,0,0,0,0
game,47,37,56,48,20,43,34,38,33,64,28,46,29
goodp,0,2,0,16,12,3,2,5,0,0,0,0,0
other,27,30,22,28,37,30,29,24,33,5,24,0,18
question,7,2,0,0,5,5,4,7,0,14,10,10,6
request,4,0,0,0,2,3,3,3,33,5,0,2,0
