ID,URL,Channel
V001,https://www.twitch.tv/overwatchleague/clip/SpotlessUglyCakeDatBoi,Overwatch League
V002,https://www.twitch.tv/overwatchleague/clip/EmpathicIncredulousHummingbirdTTours,Overwatch League
V003,https://www.twitch.tv/overwatchleague/clip/ModernAmericanCrocodileBudBlast,Overwatch League
V004,https://www.twitch.tv/overwatchleague/clip/NeighborlyHedonisticBibimbapDxCat,Overwatch League
V005,https://www.twitch.tv/overwatchleague/clip/FineHedonisticEggnogOSkomodo,Overwatch League
V006,https://www.twitch.tv/playhearthstone/clip/SolidSparklingLlamaDatBoi,Play Heartstone
V007,https://www.twitch.tv/playhearthstone/clip/CorrectStrangeCheeseResidentSleeper,Play Heartstone
V008,https://www.twitch.tv/playhearthstone/clip/RelatedBlueMonkeySuperVinlin,Play Heartstone
V009,https://www.twitch.tv/playhearthstone/clip/FragileGleamingHorseTBTacoLeft,Play Heartstone
V010,https://www.twitch.tv/playhearthstone/clip/SpikyAmazingChowderPeanutButterJellyTime,Play Heartstone
V011,https://www.twitch.tv/warcraft/clip/PoliteFlirtySageMikeHogu,WarCraft
V012,https://www.twitch.tv/warcraft/clip/EncouragingArtisticHummingbirdArgieB8,WarCraft
V013,https://www.twitch.tv/warcraft/clip/VainColorfulMarjoramBIRB,WarCraft
V014,https://www.twitch.tv/warcraft/clip/SoftGleamingWalrusTheThing,WarCraft
V015,https://www.twitch.tv/warcraft/clip/TalentedFitMuleANELE,WarCraft
V016,https://www.twitch.tv/fortnite/clip/QuaintBrainyAlmondPermaSmug,Fortnite World Cup
V017,https://www.twitch.tv/fortnite/clip/DifferentAdorablePeachSoBayed,Fortnite World Cup
V018,https://www.twitch.tv/fortnite/clip/EntertainingTransparentChoughBCouch,Fortnite World Cup
V019,https://www.twitch.tv/fortnite/clip/EagerAbstruseKalePeoplesChamp,Fortnite World Cup
V020,https://www.twitch.tv/fortnite/clip/FamousWonderfulPicklesSeemsGood,Fortnite World Cup
V021,https://www.twitch.tv/halo/clip/BeautifulNaiveKleeTwitchRaid,HALO
V022,https://www.twitch.tv/halo/clip/NiceSpikyBarracudaTTours,HALO
V023,https://www.twitch.tv/halo/clip/PricklyIgnorantMochaAMPEnergyCherry,HALO
V024,https://www.twitch.tv/halo/clip/HeadstrongLachrymoseLobsterItsBoshyTime,HALO
V025,https://www.twitch.tv/halo/clip/ShakingPunchyAubergineSpicyBoy,HALO
V026,https://www.twitch.tv/playbattlegrounds/clip/MuddySuperPandaRaccAttack,Play BattleGrounds
V027,https://www.twitch.tv/playbattlegrounds/clip/RockySparklingQueleaBatChest,Play BattleGrounds
V028,https://www.twitch.tv/playbattlegrounds/clip/AbstruseExquisiteIguanaRickroll,Play BattleGrounds
V029,https://www.twitch.tv/playbattlegrounds/clip/SwissAssiduousDurianOSfrog,Play BattleGrounds
V030,https://www.twitch.tv/playbattlegrounds/clip/PuzzledTiredMochaKevinTurtle,Play BattleGrounds
V031,https://www.twitch.tv/iesf_tv/clip/ManlyAggressiveSardineTriHard,The International
V032,https://www.twitch.tv/iesf_tv/clip/HilariousSpoopyBeeJonCarnage,The International
V033,https://www.twitch.tv/iesf_tv/clip/SuspiciousDullSashimiGOWSkull,The International
V034,https://www.twitch.tv/iesf_tv/clip/KawaiiModernDillPlanking,The International
V035,https://www.twitch.tv/iesf_tv/clip/ExquisiteSoftGalagoCoolStoryBob,The International
V036,https://www.twitch.tv/esl_csgo/clip/DelightfulManlyCobblerLitty,ESL CS GO
V037,https://www.twitch.tv/esl_csgo/clip/MushyDeadSandpiperMingLee,ESL CS GO
V038,https://www.twitch.tv/esl_csgo/clip/TiredAttractiveRavenPogChamp,ESL CS GO
V039,https://www.twitch.tv/esl_csgo/clip/EsteemedOddOwlGrammarKing,ESL CS GO
V040,https://www.twitch.tv/esl_csgo/clip/CrowdedStupidLorisMcaT,ESL CS GO
V041,https://www.twitch.tv/rocketleague/clip/AbstruseAgileClamJebaited,Rocket League WC
V042,https://www.twitch.tv/rocketleague/clip/OnerousCrowdedSalsifyTBCheesePull,Rocket League WC
V043,https://www.twitch.tv/rocketleague/clip/IgnorantWildGarbageRalpherZ,Rocket League WC
V044,https://www.twitch.tv/rocketleague/clip/RoundAcceptableDugongResidentSleeper,Rocket League WC
V045,https://www.twitch.tv/rocketleague/clip/ShinySucculentLatteAMPEnergy,Rocket League WC
V046,https://www.twitch.tv/callofduty/clip/SnappyHelplessWombatM4xHeh,Call of Duty
V047,https://www.twitch.tv/callofduty/clip/ObedientAnnoyingLaptopUWot,Call of Duty
V048,https://www.twitch.tv/callofduty/clip/IronicBeautifulSwallowWoofer,Call of Duty
V049,https://www.twitch.tv/callofduty/clip/EsteemedFragileFlyChefFrank,Call of Duty
V050,https://www.twitch.tv/callofduty/clip/CogentSparklyBobaBleedPurple,Call of Duty
