Unique_times,chat,
1:00:01,"[' orange is throwing LUL', ' W OMEGALUL W', ' Orange threw', ' rng stone strikes again', ' Throwrange FailFish']",
1:00:02,"[' such a throw', "" who's dead?"", "" he should have just done 17 to fino's face"", ' NotLikeThis', ' EZ']",
1:00:03,"[' we went wrong by trading', ' Lol']",
1:00:04,"[' how did he manage to lose?', ' Ouch —', ' TRADE LULW', ' professional hearthstone player LUL']",
1:00:05,"[' PepeLaugh', ' Choked LUL', ' NotLikeThis NotLikeThis NotLikeThis']",
1:00:06,,' dont try and praise feno for this'
1:00:07,"[' skillblast', ' Guaranteed two turn lethal lost']",
1:00:08,,' gg BrokeBack'
1:00:09,"[' LUL', ' the actual better player won', ' LUL LUL LUL', ' moon2B', ' LUL']",
1:00:10,"[' EZ Clap', ' GG LUL LUL', ' LUL', ' Ez', ' NotLikeThis', ' reaction INC LUL', ' GGGGG']",
1:00:11,"[' Created by btw 4Head', ' GG', ' Orange found a way to lose', ' SOOO BAD PLAYED LULW', ' might as well fireball himself twice in the face and commit sudoku', ' lmao']",
1:00:12,"[' DED LUL', ' hello room!', ' T H R OMEGALUL W', ' EZ Pyro']",
1:00:13,"[' Kappa', ' Get rekt coward', ' PepeLaugh hahHa', ' 8-6 LUL', ' orange choked under pressure', ' pyro SMOrc SMOrc SMOrc', "" auch I really hoped orange wouldn't choke in this match guess he did anyway :/""]",
1:00:14,"[' He deserve that!!!', ' EZ', ' GG']",
1:00:15,"[' PUNISHED LULW', ' atpMurray nice throw', ' HAHAHAHAHAHA LULW', ' EZ', ' LUL', ' Pog', ' pyro kek... greeting Ha SMOrc']",
1:00:16,"[' death cirSlain', ' CREATED BY OMEGALUL SKILL OMEGALUL', ' ME NO SMOrc ME LOSE GAME LUL', ' PogChamp PogChamp PogChamp', "" that's very disapointing from orange""]",
1:00:17,"[' proplayer', ' Orange is the new concede', ' Thats just embarassing lol', ' 322 throw 322', ' noob arange :) :) :)', ' ggggggg']",
1:00:18,"[' GGWP', ' why dindt he hit the face???? Maybe the third game is started', ' LOOK AT HIS FACE PepeLaugh', ' LUL EZ', ' wooooooo', ' lost a 50/50 on pick to lose game gg', ' LMFAO']",
1:00:19,"[' EZ Clap', ' LULW', ' were did he go wrong come on c asters', ' F', ' LUL LUL', ' GM by the way']",
1:00:20,"[' EU PLAY LUL', ' LUL', ' LOOOOOOOL', ' BabyRage BabyRage BabyRage BabyRage BabyRage', ' no..', ' raGE QUIT', ' PAMEEEE']",
1:00:21,"[' Orange is bad', ' Awful plays', ' RAGE QUIT PepeLaugh', ' PJSalt', ' run awaayyy', ' RAGEQUIT LULW', ' PJSalt', ' LUL orang', ' He’s still trading LUL', ' mana cyclone LUL', ' DESERVED', ' HSWP']",
1:00:22,"[' really nub', ' Better player won', ' missplay', ' LUL', ' rekt']",
1:00:23,"[' Feno the best', ' get wreck throwange', ' Orange played that terrible', ' LUL going to puke LUL', ' LULW', ' SO MALD', ' nice FENO', ' CHAIR lul', ' LULW', ' 322 t90Throw t90Throw LUL', ' Orange looks sick FeelsBadMan', ' LUL LUL LUL LUL LUL', ' lmao']",
1:00:24,"[' Orange went to go cry', ' lol', ' PogU', ' LOL', ' OMEGALUL RANGE TILTED', ' Pyro created by Mana Cyclone', ' ragequit LUL', ' Rage quit', ' LUL missplay']",
1:00:25,"[' LUL', ' PUNISHED LUL', ' rage quit', ' PJSalt PJSalt PJSalt PJSalt', ' Rage Quit LUL', ' HSWP zakkurOTIC', ' BibleThump BibleThump BibleThump BibleThump', ' BibleThump', ' GG EZ', ' LUL orange', ' he deserves it for that beard LuL', ' LUL LUL RAGE QUIT', ' BibleThump BibleThump', ' BibleThump', ' DESERVED LMFAOOOO']",
1:00:26,"[' EZ', ' lol', ' ORANGE LUL LUL LUL LUL', ' rip orange', ' F', ' DUDE HOWWWWWWWW']",
1:00:27,"[' Skill', ' NOOOOOOOOO', ' rofl', ' well deserved', ' RAGE QUIT']",
1:00:28,"[' how do you even lose from that spot', ' OMGGGGGGGGGG', ' i hope feno loses in the finals', ' rage quit LUL', ' Huge throw lmfao', ' LUL', ' CRYING LUL', ' PJSalt', ' FENOMENO EISAI ESY', ' Orange is too bad', ' Created by LUL', ' HAHAHAHAHAHA', ' BabyRage']",
1:00:29,"[' Gg', ' F', ' BibleThump BibleThump', ' threw LUL', ' sree', ' SO TILTED LUL', ' LULW', ' SMOrc SMOrc SMOrc', ' i say gfeno win', ' lol', ' Thought that was Pokelawls for a second', ' CREATED BY LUL', ' PJSalt', ' PJSalt']",
1:00:30,"[' rip Orange', ' Orange is quit BibleThump', ' back 2 TFT', ' CREATED BY LUL', ' SAID NO AND QUIT PepeLaugh', ' lo', ' LUL', ' BibleThump R A N G E']",
1:00:31,"[' rage quit', ' TILTED LULW', ' orange raging right now LULW', ' so bad', ' orange BibleThump', ' PJSALT', ' BabyRage', ' NO BALLS TRADE TRADE TRADE LULW', ' LUL LUL', ' Win by orange throwing giga hard', ' GGGGGGGGGGGGGGGGGGgg', ' gm level throw', ' tilted', ' BabyRage BabyRage BabyRage BabyRage', ' walking away LUL']",
1:00:32,"[' nnob', ' ANGRY LUL', ' ORANGE FeelsBadMan', ' gg', ' wp', ' whaaaaaaat']",
1:00:33,"[' BibleThump', ' orange noob', ' reeeeeee', ' SO MALD LULW', ' PJSalt PJSalt PJSalt', ' feno best player!', ' run faster please', ' so STUPID LMAO']",
1:00:34,"[' nice throw orange', ' BabyRage', ' pyro kek... greeting Ha SMOrc', ' LUL', ' Salt', ' SO MALD LULW', ' LULW', ' PJSalt PJSalt PJSalt PJSalt PJSalt', ' last 4 turn should Orange win go face why trading ==', ' ORANGE CRYING LUL LUL', ' Walked away']",
1:00:35,"[' RAGE QUIT OMEGALUL', ' LUL', ' orange so bad :(', ' facebooook', ' unbelievable', ' BabyRage BabyRage BabyRage BabyRage BabyRage', ' no go face', ' Orange ran away to cry', ' he said no and left', ' CCREATED BY OMEGALUL SKILL OMEGALUL', ' LUL Orange', ' RAGEQUIT LUL', ' TRIGGRED LULW TRIGGRED LULW TRIGGRED LULW TRIGGRED LULW', ' Orange Go cry']",
1:39:32,"[' lool :D', ' LLLOOLLLLLL']",
1:39:33,"[' POGGERS', ' LMFAO', ' Pog', ' OMG WHAT', ' LUL LUL']",
1:39:34,"[' WHAAAAAAAAAAAAT', ' Pog', ' omg', ' Pog', ' GG', ' order LUL', ' LOOOOOOL', ' Pog', ' PogU']",
1:39:35,"[' LUL', ' ㅁㅍ', ' LUL', ' SHAW PogU', ' OP', ' EZ always EZ lucky EZ', ' OMG']",
1:39:36,"[' :D', ' :)', ' Pog', ' Packs', ' PogChamp PogChamp', ' WHAT', ' LUL', ' ????']",
1:39:37,"[' LUL', ' ESPORTS LUL', ' LUL', ' LULW', ' omg', ' ?????', ' ez pack', ' LUL', ' WAAAAAAT?!?!?!!?', ' wOW', ' omg']",
1:39:38,"[' lucker', ' W OMEGALUL W', ' lol', ' world champion', ' wow RNG gods', ' POGGERS SKILLED GAMER']",
1:39:39,"[' LUL', ' LUL', ' ㅁㅊ', ' Skill LUL', ' POG', ' POG', ' RIGGED LUL', ' LULW', ' LUL', ' POGGERS', ' ESPORTS', ' lmao GG', ' LUL', ' PogU']",
1:39:40,"[' GGGG GGGGG', ' WOWOWOWOWO', ' RNG :D :D :D', ' LUL', ' wow', ' ??', ' OMG', ' Pog Pog']",
1:39:41,"[' LUL', ' LULW', ' monkaW', ' LUL', ' LUL', ' LUL', ' BEH OMEGALUL D', ' PogChamp PogChamp PogChamp', ' lmaooooo']",
1:39:42,"[' LULW', ' pog champ', ' OMG LUL', ' wt', ' xD', ' PogU', ' PogU']",
1:39:43,"[' WHAT', ' POG', ' Skilled', ' gg', ' LUL', ' BrokeBack MAGE', ' LUL', ' 1 1', ' Kappa', ' PogChamp NotLikeThis WutFace NotLikeThis PogChamp', ' wow hunterace so lucky', ' PogU', ' LUL']",
1:39:44,"[' LOLLLLLL', ' WHAT A JOKE', ' LUL', ' PogChamp', ' OhMyDog NotLikeThis', ' world. C H A M P I O N']",
1:39:45,"[' omg', ' MaxLOL MaxLOL', ' Fiesta', ' LULW']",
1:39:46,"[' wow', ' rng', ' SO MUCH SKILL', '7.77777777777778E+018', ' XDDDDDDDDDDDDD', ' SKILL Pog', ' Esport LUL']",
1:39:47,"[' W OMEGALUL W', ' LUL', ' A BANANA PogU', ' pog']",
1:39:48,"[' Pog', ' Pog', ' OMEGALUL Clap', ' Pog', ' LUL rigged LUL']",
1:39:49,"[' Pog', ' LULW', ' WOW', ' Pog', ' NICE Pog']",
1:39:50,"[' Go Seiko', ' pog', ' THIS deck', ' LUL', ' LMA O']",
1:39:51,"[' PogU', ' created by', ' PogChamp PogChamp', ' e sport', ' LUL', ' SKILLLZZZZZZZZZZZZZZ', ' owww', ' ha ha', ' OMG']",
1:39:52,"[' that reaction lol', ' GGGGGGGGGGGGGGGGG', ' ejsus wht was that', ' everything is not fine AYAYA', ' LMAO', ' OMG!!', ' Get skilled LUL', ' what even happened!!!', ' himoWHAT']",
1:39:53,"[' THATS SKILL', ' esport', ' thats insane', ' VANISH', ' Balanced', ' PogChamp PogChamp', ' PogU', ' world champion right there', ' LOOOOOOOL', ' Nice', ' LUL', ' Pog', ' RNG']",
1:39:54,"[' Pog', ' GGG', ' LUL', ' eEEEEEEEEEEEEsports', ' discover VANISH !', ' BOOO!', ' SO CRAZY', '7777777777', ' jajajajajajajajja', ' LUL', ' SeemsGood', ' BrokeBack', ' EZ', ' INCREDIBLE']",
1:39:55,"[' Pack pack', ' OMG SO LUCKY', ' pog', ' PagChomp', ' LUL\\', ' SKILL', ' POOOOOOOOOG']",
1:39:56,"[' Skill lol', ' that was ridicilous lmao', '777777', ' MAGE BTW LULW', ' Pog', ' E-SPORTS bottomRight', ' ESPORTSSSSS', ' loll', ' PogChamp PogChamp PogChamp', ' LUL LUL']",
1:39:57,"[' LULW', ' SKILL POGGERS', ' PogChamp PogChamp', ' lol', ' jajajjajajajajajajaj', ' LOL', ' MISS LETHAL!', ' Great game', ' world champion plays Pog']",
1:39:58,"[' WUT', ' the world ended bro', ' WutFace WutFace WutFace WutFace WutFace', ' LUCKER ACE', ' RNG King', ' 돌붕이 모하노', ' WutFace', ' gg', ' PogChamp PogChamp PogChamp PogChamp', ' OSFrog', ' THAT IS THE MOST AMAZING THING', ' rng champ', ' HSWP LUL']",
1:39:59,"[' OMG', ' Game over', ' gg', ' gg LUL']",
1:40:00,"[' jajajajjajajajajja', ' WHAT A SKILL LULW', ' GGGGGGGGGGG', ' Squid1 Squid1 LUL Squid2 Squid3 LUL Squid4', ' BegWan', ' CASINO', ' POG', ' Oh boy', ' LUL PogChamp', ' FAIR AND BALANCED LUL', ' WutFace WutFace WutFace', ' gg highroll', "" anyone said it's over for the blondie guy?"", ' OMG', ' so OP']",
1:40:01,"[' BALANCED', ' RNG', ' only rng', ' POG', ' SKILLFUL GAMEPLAY PogChamp', ' nice deck Pepega', ' NO TOKI NO WIN', ' PogChamp PogChamp PogChamp', ' WHAT monkaS', ' Mage is Skill haHAA', ' Game of skill LUL', ' Wow']",
1:40:02,"[' Esports', ' ARCANE INTELLECT NEXT TURN DRAW 6', ' lucky man', ' LOOOOOOOOOOL Pog', ' he got 4 rolls chat relax FailFish', ' mage LULW', ' EZ Pog', ' WutFace', ' LUL', ' PixelBob PixelBob', ' deadstone', ' MIRACLE MAGE BOI', ' t90Rigged STONE t90Confirmed']",
1:40:03,"[' LUL', ' mage is so dumb', ' you SURE???', ' Vanish LUL', ' That was a turn LUL', ' PogChamp', ' skill LUL', ' ESPORTS Pog']",
