Unique_times,chat,
2:42:29,"[' percentage of mage vs rogue matches after the playoffs are going to be stupid high lol', ' missles yeah right']",
2:42:30,,
2:42:31,"[' !brackets', ' Scared of taunt']",
2:42:32,"[' SMOrc I dont understand', ' SMOrc EZ EZ EZ LUL PogChamp Kappa']",
2:42:33,,' orange wins 2-0'
2:42:34,,' PinkMercy ...'
2:42:35,,
2:42:36,,
2:42:37,,
2:42:38,,
2:42:39,"[' leeroy + kalecgos', ' ']",
2:42:40,"["" you guys just don't know how to play control rogue""]",
2:42:41,,
2:42:42,,
2:42:43,,' MaN'
2:42:44,,
2:42:45,,
2:42:46,,
2:42:47,,
2:42:48,,' BlessRNG BlessRNG BlessRNG'
2:42:49,"[' YESSSS', ' PogChamp']",
2:42:50,"[' Be nice to people? SMOrc', ' wow I think orange wins', ' POG', ' LUL']",
2:42:51,"[' EZ', ' OH BOY EZ Clap', ' omg lol', ' Pog', ' LMAO', ' Pog']",
2:42:52,"[' whaaaaaowwww', ' HO HO HOOOOOOOOOOOOOOOOOOOO', ' EZ Clap', ' Kreygasm', ' Pog']",
2:42:53,"[' hahahahahahhaha', ' dogdogEZ', ' LULW', ' hearthstone LUL', "" i'd be so sad"", ' EZ', ' pro player']",
2:42:54,"[' he deserves it', ' EZ', ' skillstone', ' EZ', ' RNGSTONE', ' gachiBASS', ' Kreygasm Kreygasm', ' Kappa', ' LUL', ' POG POGLENTO', ' EZ', ' Pog']",
2:42:55,"[' PogChamp', ' loool', ' haHaa', ' PogChamp PogChamp PogChamp PogChamp', ' yeaaaaaahhhhh', ' orange is the new black ']",
2:42:56,"[' EZ SKILL', ' LUL', ' RNG', ' Pog', ' Pog', ' LUL', ' terrible play by orange punished', ' nakamuraHey nakamuraHey nakamuraHey', ' EZ', ' GodLento', ' LUL']",
2:42:57,"[' FreakinStinkin', ' Kolento', ' Kreygasm', ' Kreygasm', ' LLLOOOLLLLLLLLLLLLLLLL', ' RNGSTONE OMEGALUL', ' LUL', ' BM LUL']",
