Group,Unique_times,chat
1,0:27:46,"[' MercyWing1 GIVE MERCY WALL CLIMB MercyWing2', ' LUL', ' owlshd150', ' 4Head GITTE', ' VOTE DREAMKAZPER AS MVP!!!!']"
,0:27:47,"[' LUL NO', ' LUL', ' Rally today Fusion! OWLPHIg OWLPHIg', ' LUL', ' LUL', ' Kappa', ' SDB PogChamp ', ' dinkHellyeah']"
,0:27:48,"[' BEST TEAMS LUL', ' LUL', ' LUL', ' Kappa sure', ' me to my twitch app: please stop lagging eveaCry eveaCry', ' HSWP', ' OMEGALUL', ' LUL', ' 2 BEST :THINKING:', ' !spray']"
,0:27:49,"[' WHO WON', ' fun to play OMEGALUL', ' FUN TO PLAY LUL', ' Jebaited', ' dead game OMEGALUL', ' owlfla100', ' LUL', ' FortOne Philly', ' Hanzo LUL', ' Kapp']"
,0:27:50,"["" wait this isn't csgo"", ' OWLPHIg OWLLDNg OWLPHIg OWLLDNg', ' LUL', ' his shirt is shiny', ' LUL', ' Kappa', ' tru', ' Kappa', ' NOT IN COMP LUL', ' ??????']"
,0:27:51,"[' ye brig so fun', ' Kappa', ' sure MiniK', ' haha', ' no its not', ' OWLBastion OWLBastion OWLBastion', ' nah', ' Kappa', ' ???', ' Kappa', ' kabajiDerp kabajiDerp kabajiDerp', ' OWLMercy OWLNYE OWLMercy', ' LUL', ' great place LuL fun to play LuL', ' SeriousSloth']"
,0:27:52,"[' LUL', ' DOESNT KNOW WHAT A META IS', ' i dare someone to gift me the AAP Kappa', ' GREAT STATE LUL', ' LUL', ' Kappa', ' Is this the last day??', ' LUL', ' LUL', ' LUL', ' EQ THROW', ' Kappa ?', ' LUL', ' oOF', ' FUN TO PLAY LUL']"
,0:27:53,[' Can you gift bits???']
,0:27:54,"[' LUL NO', "" IT'S BALANCED I SWEAR haHAA"", ' Kappa fun to play', ' owlphi100', ' What time does it air live on the east coast', ' LUL', ' TombRaid', ' Kaappa', ' Kappa', ' FUN LUL', ' Kappa', ' Kappa', ' fun to play LUL', ' L', ' LUL']"
,0:27:55,"[' has anything happened yet??', ' OWLgetonpoint OWLgetonpoint', ' did he just predict spitfire win?', ' MiniK', ' LUL', ' LUL LUL LUL', ' FUn to play LUL LUL LUL', ' LUL NO']"
,0:27:56,"[' xqcHYPERF xqcHYPERF xqcHYPERF xqcHYPERF', ' in a great place Kappa', ' Kappa', ' OWLLDN OWLLDN', ' owlgla150', ' ow fun to play LUL', ' I got both sprays yesterday', ' OWLgg OWLhammerdown', ' Kappa', ' LUL', ' LUL NO', ' DOUBLE SNIPERS SO FUN Kappa', ' OWLboop', ' OWLnerfthis OWLnerfthis', ' 50k views dead game LUL']"
,0:27:57,"[' 4Head Gitte', ' FUN LUL', ' Kappa', ' Kappa', ' Kappa', ' MercyWing2', '7', ' fun to play', ' Joke LUL', ' SSSsss', ' BibleThump', ' GOOD ONE COMMISIONER :)', ' OWLonfire OWLonfire OWLonfire', ' FUN TO PLAY Kappa', ' Sometimes']"
,0:27:58,"[' 4head', ' Who won', ' Kappa', ' E Q LUL', ' Kappa', ' FUN TO PLAY', ' LUL', ' Kappa', ' Kappa', ' FUN LUL', ' owlhou50 owlval50 owlldn50 owlnye50', ' fun 4Head']"
